篇名	作者	页数	关键词	摘要	filename
关于近期有人冒充我编辑部名义骗取钱财的严正声明		1	 	"<正>近期发现有人或机构冒用《浙江高校图书情报工作》编辑部名义,通过假网站开展非法的收稿、收费活动,严重侵犯了我编辑部及广大投稿作者的合法权益。对此,我编辑部严正声明:编辑部未建立任何网站,未委托任何第三方机构或个人面向社会收稿,不收取任何费用。编辑部唯一投稿邮箱为zjgxtg@zjut. edu. cn,且均以此邮箱回复作者投稿邮件。 "	ZJTQ202001013
阅读价值取向概念和内容探析	王芳:15587641	5	阅读取向; 价值取向; 价值观;	"在综述国内外有关阅读价值取向研究现状的基础上,从价值观的角度出发,基于价值取向这一价值哲学的重要范畴,对阅读价值取向的概念进行定义,并结合价值取向的特点和类型对阅读价值取向的内容进行分析归纳。 "	ZJTQ201902001
基于“童书馆”建设的高校图书馆儿童阅读推广活动研究	朱兼白:30171752|吴婷媛:43189252|田莉:30948318	5	高校图书馆; 儿童阅读推广; 童书馆;	"从案例分析的视角出发,通过对浙江机电职业技术学院童书馆儿童阅读推广实践的分析,阐明了高校图书馆建设中为儿童开展阅读延伸服务的必要性和可行性,期望能为高校图书馆日后开展儿童阅读推广活动提供借鉴经验。 "	ZJTQ201902002
互联网条件下革命老区高校图书馆红色文化建设	肖玲聪:40051493	5	红色文化; 互联网; 革命老区; 高校图书馆;	"在互联网时代,红色文化遭到强烈冲击。革命老区高校图书馆是红色文化建设的主阵地,要充分利用革命老区高校图书馆的优势资源,通过网络平台建立多样的红色文化网络传播形式,开展网上红色体验主题活动,开设红色文化讲堂,加强特色数据库的建设和资源共享,采取多种措施传承红色基因。 "	ZJTQ201902003
浙江省民办高校图书馆人力资源现状与对策	王丽:23391946|蔡静:25997450	6	浙江省; 民办高校; 图书馆人力资源; 分析; 对策;	"选取2017年浙江省15所具有代表性的民办高校图书馆为调查对象,分别从图书馆岗位类别、性别结构、年龄结构、职称结构、学历学位结构、知识(专业)结构等角度进行统计分析,研究浙江省民办高校图书馆人才资源管理的现状,并对改善图书馆人才资源结构,提升办馆实力提出建议,以期为提高浙江省民办高校图书馆知识服务水平和质量提供参考。 "	ZJTQ201902004
守初心 强使命 促服务 秉传承——浙江省高校图书馆界学习领会习近平总书记给国图老专家回信精神		3	 	"<正>9月8日,在国家图书馆建馆110周年之际,中共中央总书记、国家主席、中央军委主席习近平给国家图书馆8位老专家回信,指出""图书馆是国家文化发展水平的重要标志,是滋养民族心灵、培育文化自信的重要场所"",对国家图书馆积极作用予以充分肯定,对图书馆事业未来发展提出殷切期望。9月12日,浙江省高等学校图书情报工作委员会以高度的政治自觉拟定浙高图秘字 "	ZJTQ201902005
浙江工业大学图书馆阅读推广工作成效显著		5	 	"<正>阅读对人成长影响巨大,一本好书往往能改变人的一生。无论是从为教学、科研活动服务的事业本旨来看,还是从""为人找书""和""为书找人""的读者服务核心理念来说,从事校园阅读推广活动都是高校图书馆义不容辞、任重道远的时代使命。浙江工业大学图书馆作为大学生学习的第二课堂,广泛开展了各类阅读推广活动,不仅帮助大学生脱离碎片化、浅显化的阅读困境,而且坚定了大学生的文化自信,推动了校园文化的繁荣,受到师生和领导的好评。 "	ZJTQ201902007
立体的阅读 文化的盛宴——浙江省高校图书馆阅读推广活动向纵深发展		5	 	"图书馆界的阅读推广已经轰轰烈烈地开展了近10个年头,形成了主题形式多元化、内容多元化、宣传手段多元化、组织形式多元化的特色。习近平总书记多次强调""爱读书,读好书,善读书"",近年来,图书馆的阅读推广也已经由着重宣传阅读的意义和价值、掀起""全明阅读"",发展到推荐读者""读好书,善读书""。俄国大文豪别林斯基有句名言:""阅读一本不适合自己阅读的书,比不阅读还要坏。我们必须学会这样一种本领:选择最有价值、最适合自己所需要的读物。""图书馆的阅读推广就是要让读者找到这样的书,学会这样的本领,因此图书馆对于好书的呈现至关重要。2019年以来,浙江省各高校图书馆在阅读推广中用物品融合、知识融合、活动融合等方式多层次地构建视、听、说、动、思、画、演、创、玩一影视、音乐、语言表达、动作、思考、绘画、演戏、创新、游戏的立体式阅读体验模式,同时也给读者带来了一场场别具一格的文化盛宴。 "	ZJTQ201902009
浙江省高校图书馆讲座展览汇编		7	 	"讲座、展览在高校文化传承、文化育人上起着至关重要的作用。浙江省各高校图书馆围绕党的文化强国建设开展了主题鲜明、内容丰富、丰富多样的讲座、展览活动。现将2019年浙江省高校图书馆举办的各类讲座和展览活动呈现。旨在拓宽图书馆的服务功能,使图书馆的业务得到进一步的延伸,实现从以书为本到以人为本、从传统服务模式到现代服务方式的转变,使图书馆充满生机和活力,不断满足多层次的知识需求和精神文化需求。 "	ZJTQ201902010
浙江省高校图书馆喜获各级各类奖项		4	 	"浙江省高校图书馆在校园文化建设中逐渐摸索出顺应时代特征、适合本馆特色的发展之路,组织实施了形式多样、内涵丰富的各类活动,引导培育了更多学生群体和社团组织。图书馆人为校园文化和民族文化的传承和创新不断努力,并获得了国内外各类奖项的青睐。这些喜人的成果值得各高校图书馆借鉴参考、打开思路,以期获取读者更多的关注和认可。 "	ZJTQ201902011
2019中国高职图书馆发展论坛上光辉灿烂的“浙江高职风采”		1	 	"<正>10月16—19日,由中国图书馆学会高职院校图书馆分会主办,陕西省高校图工委高职高专分委会、陕西工业职业技术学院和中国知网共同承办的2019中国高职图书馆发展论坛在古都西安隆重举行。来自全国31个省市自治区的310家单位500余名代表围绕""守初心·担使命·谋新篇——高职图书馆助力职业教育改革""的主题,共同探讨我国高职院校图书馆发展之路。我省共有20个图书馆的34位代表参加了会议。 "	ZJTQ201902006
浙江省高校图书馆第八届青年学术论坛在杭州电子科技大学举行		1	 	"<正>10月11日,由浙江省高校图书情报工作委员会主办、杭州电子科技大学图书馆、上海万方数据有限公司承办的浙江省高校图书馆第八届青年学术论坛在杭州电子科技大学举行。浙江省高校图工委学术委员会主任、浙江大学宁波理工学院图书馆馆长赵继海,浙江省高校图工委学术委员会副主任、湖州师范学院图书馆馆长龚景兴,文献资源建设专业委员会主任、浙江大学图书馆副馆长田 "	ZJTQ201902008
浙江省高校图书情报工作委员会2019年主要工作记事		6	 	"<正>3月26日—4月3日""超星·读秀杯""浙江省高职高专院校图书馆素质提升工程之高职高专院校大学生知识竞赛盛大举行。该活动由浙江省高等学校图书情报工作委员会高职高专院校图书馆分委员会与北京世纪读秀技术有限公司联合举办,活动通过网络答题以书名接龙比赛的方式开展。浙江交通职业技术学院图书馆、浙江建设职业技术学院图书馆、浙江商业职业技术学院图书馆、浙江旅游职业学院图书馆和绍兴职业技 "	ZJTQ201902015
《浙江文献》学术研讨会暨台湾大陆同乡会文献数据库·浙江库上线发布会在温州大学举行		1	 	"<正>2019年11月21日,由中国社会科学院和中华全国台湾同胞联谊会共同指导,温州大学、社会科学文献出版社联合主办的《浙江文献》学术研讨会暨台湾大陆同乡会文献数据库·浙江库上线发布会在温州大学召开。发布会由温州大学图书馆馆长陈安金主持,全国政协常委、中华全国台湾同胞联谊会副会长、浙江省政协副主席张泽熙先生,温州大学党委书记谢树华,社会科学文献出版社总编辑杨群出席会议并致辞,温州大学徐和昆副校长,温州市委党校王健教育长,以及来 "	ZJTQ201902016
浙江工商大学图书馆		4	 	"<正>2017年,浙江工商大学图书馆在工作创新方面取得了一定成绩,具体工作成绩如下:一、图书采购接轨国际,采购机制更加贴近读者需求2017年3月30日,值读书节十周年之际,浙江工商大学图书馆""云借购""在线平台隆重上线。为了更好地推广宣传这项工作,图书馆在食堂广场、图书馆广场等地举行了多场次现场宣传演示活动,先后为教务处、校报编辑部、财会学院等部门进行上门服务,同时向管理、环境、东语、金融等学院进行了邮件推广。 "	ZJTQ201902012
浙江机电职业技术学院图书信息中心		5	 	"<正>2017-2018年度,浙江机电职业技术学院图书馆全体工作人员锐意进取、开拓创新,完成了大量日常管理工作和创新特色工作,取得突出成绩,主要体现在以下五个方面:一、认真贯彻执行党和国家的各项方针、政策,建立健全各项规章制度和岗位职责,有切实可行的考核办法。根据国家政策和行业标准规范部门规章制度,严格执行。做好图书馆年度、月度工作计划与工作总结等工作,2017年度重新审定 "	ZJTQ201902013
改革实现新跨越 全面展现新格局		6	 	"<正>2017—2018年,浙江工商职业技术学院图书馆在浙江省高校图工委等上级单位的指导下,围绕学校""十三五""规划、图书馆三年行动计划,深入学习贯彻党的十九大会议精神,以习近平总书记新时代中国特色社会主义新思想为指引,从建立健全各项规章制度、完善文献资源保障体系、创新社会服务模式等方面针对性实施""图书馆十大工程""建设,力争将图书馆建设成为学校文献信息中心、 "	ZJTQ201902014
《浙江高校图书情报工作》2019年总目录(总第135-136期)		1	 	 	ZJTQ201902017
大数据在高校图书馆的应用	邹朋:42232867	4	大数据; 高校图书馆; 应用;	"信息技术的迅速发展,使得大数据在社会中的应用日益广泛。本文主要探讨大数据技术在高校图书馆数据库、文献推荐以及古籍数字化三个方面的应用情况及其存在的问题和解决对策。 "	ZJTQ201901001
“查收查引”工作实践的反思	姚杰:32562164	3	查收查引; 数据库; 反思;	"针对查收查引工作,讨论了文献检索的兜圈子行为、过分依赖几个数据库、过分依赖国外数据库、评价指标单薄和论文的博硕士引用情况考量等五方面的问题,并针对这些问题提出了解决方案。 "	ZJTQ201901002
“图书馆新时代与新能力”学术研讨会在浙江工商职业技术学院召开		1	 	"<正>4月12日,""图书馆新时代与新能力""学术研讨会隆重召开。本次大会由中科院文献情报中心《图书情报工作》杂志社、""阳光悦读""组委会主办,浙江工商职业技术学院承办,北京爱迪科森教育科技股份有限公司协办。全国各地公共图书馆、高校图书馆单位250余人参加了研讨会。本次学术研讨会齐聚了全国著名图书馆 "	ZJTQ201901003
浙江省高校图书情报工作委员会2018年度工作总结		6	 	"<正>2018年,浙江省高校图书情报工作委员会(以下简称""图工委"")在浙江省教育厅的领导下,在全省高校各成员馆的积极支持与配合下,依托全体常委、分委会和各专业委员会,有效发挥了统筹、组织、协调、指导和服务功能,开展了内容丰富,形式多样的理论研究、学术交流、人才培养、刊物出版以及对外合作与交流等工作,较好地完成了本年度各项工作任务。总结如下: "	ZJTQ201901013
浙江省高校图书情报工作委员会八届七次常务委员会会议纪要		1	 	"<正>2019年3月29日,浙江省高校图书情报工作委员会八届七次常务委员会会议在嘉兴召开。全省高校图工委常务委员、秘书处成员等17人参加了会议。本次会议由省高校图工委副主任兼秘书长吴晨主持,主要内容如下:一、听取并审议了省高校图工委副主任陈红馆长、副主任李国平馆长关于省高校图工委2018年的工作总结和2019年工作思路的汇报;听取并审议了郑江平副秘书长关于省高校图工委2018年财务收支情况的汇报。 "	ZJTQ201901014
浙江省高校图书情报工作委员会2019年工作计划		2	 	"<正>一、重点工作1.组织开展2017-2018年度浙江高校图书馆先进集体、优秀馆长和先进工作者的评选工作。2.学术委员会牵头做好浙江省高校图书馆2017—2018年度优秀成果的评选工作。3.推进""中华文明高校行""活动继续走进浙江省高校、长三角高校。 "	ZJTQ201901015
“超星·读秀杯”高职高专院校大学生知识竞赛组织奖颁奖仪式在浙江商业职业技术学院举行		1	 	"<正>4月17日下午,浙江省高职高专院校图书馆素质提升工程之大学生知识竞赛组织奖颁奖及现场抽奖活动在浙江商业职业技术学院18号楼三楼会议厅顺利举行。浙江省高校图工委副主任兼秘书长吴晨、图工委副秘书长郑江平、浙江交通职业技术学院副院长姚钟华、浙江商业职业技术学院副院长李贤政、浙江旅游职业学院副院长王忠林、绍兴职业技术学院副院长陈建芳、省高职高专院校图书馆分委员会成员、省内12所兄弟院校的图书馆馆长、超星公司领导以 "	ZJTQ201901016
关于公布浙江省高校图书馆2017—2018年度先进集体、优秀馆长及先进个人的通知		3	 	"<正>浙高图秘字[2019]4号全省各高等学校图书馆:根据《关于评选浙江省高校图书馆2017—2018年度先进集体和先进个人的通知》(浙高图秘字[2019]1号)的要求,经各高校图书馆推荐或自荐,浙江省高校图工委八届七次常委会评议,共评选出26个先进集体、31名优秀馆长、92名先进个人。现予以 "	ZJTQ201901017
关于公布浙江省高校图书馆2017-2018年度优秀成果获奖名单的通知		3	 	"<正>浙高图秘字[2019]10号全省高校图书馆:浙江省高校图书馆2017—2018年度优秀成果在各高校图书馆申报的基础上,经学术委员会会议评审,我委核准同意,共有45项成果荣获2017—2018年度优秀成果奖。其中,一等奖5项,二等奖15项,三等奖25项。现对浙江省高校图书馆2017—2018年 "	ZJTQ201901018
基于手工艺制作创新阅读推广的实践——以浙江工业大学图书馆系列手工艺制作活动为例	李玲梅:42232868	5	阅读推广; 手工艺; 传统文化;	"""静湖小时光""系列活动是浙江工业大学图书馆策划、推出,以手工艺制作为出发点,引导师生关注、传承传统文化,获得师生广泛参与和好评的阅读推广案例。本文详细阐述了活动目的、开展情况及读者反馈等,并总结基于手工艺的阅读推广活动的创新经验,以期为其他高校图书馆开展类似活动提供借鉴。 "	ZJTQ201901004
圣彼得堡市立图书馆的品牌管理与服务——以圣彼得堡市马雅科夫斯基公共图书馆为例	龙柳亭:30819375	5	俄罗斯; 圣彼得堡; 服务; 管理; 启示;	"科学合理、优质高效的管理是图书馆实现工作目标、达到预期效果的关键。从图书馆管理的发展趋势看,以市场和用户为导向的""品牌管理""、""服务营销""等管理学概念正在被图书馆界越来越广泛地引入和应用。本文通过观察圣彼得堡市马雅科夫斯基公共图书馆的实践案例,发现并展望图书馆品牌管理与服务营销的可行模式和未来发展空间,有利于我国图书馆更好地塑造社会形象、提升服务效能、保持社会竞争力并实现最终可持续发展。 "	ZJTQ201901005
“双一流”背景下浙江大学图书馆打造多元化文化讲座的实践		4	 	"<正>国务院在2015年发布的《统筹推进世界一流大学和一流学科建设总体方案》中提出要完成""建成世界一流大学和一流学科""的任务需要坚持""以立德树人为根本"";在2017年发布的《国家教育事业发展""十三五""规划》中也指出""立德树人""要求""提高学生文化素养""要做到""以美育人、以文化人"",""积极引导学生阅读欣赏中外文学艺术经典,鼓励高雅艺术进校园、非物质文化遗产进校园、民族民间优秀文化进校园。充分利用图书馆、博物馆、文化馆等各类文化资源,广泛开 "	ZJTQ201901006
浙江海洋大学图书馆:形神兼美的诗意栖居地		4	 	"<正>图书馆不仅仅是一个大学的建筑地标和文化名片,更应该是大家心目中庄严神圣的学术殿堂、魂牵梦萦的精神家园和令人神往的诗意栖居地。浙江海洋大学图书馆就是这样一处众望攸归之所在。浙江海洋大学图书馆,创建于1958年,六十年来,始终与学校发展休戚与共,栉风沐雨,历经多次改扩迁建。2013年9月正式启用的新馆坐落在长峙岛本部校区核心位置,馆舍面积1. 8万平方米,简欧风格,典雅恢宏,具有浓郁的人文气息。2014年11月,为 "	ZJTQ201901007
浙江省高校图书馆读书节活动集锦		10	 	"一个国家、一个民族的强盛,总是以文化兴盛为支撑的。习近平说:""读书可以让人保持思想活力,让人得到智慧启发,让人滋养浩然之气。""在第24个世界读书日来临之际,浙江省各高校图书馆围绕党的文化强国建设开展了主题鲜明、内容丰富多样的系列活动。通过多种渠道、形式和载体向读者传播阅读理念、开展阅读指导、提升阅读兴趣和阅读能力。现将2019年浙江省高校图书馆举办的读书节系列活动呈现,让学习点亮生活,让阅读蔚然成风,在文明的星空下诗意地栖居。 "	ZJTQ201901008
浙江省高校图书馆阅读推广活动汇编		6	 	"随着智能手机、平板电脑等移动智能终端的普及,即时在线浏览成为阅读的主要形式,即拿即放、休闲式、跳跃性、碎片化的快餐式阅读也已经成为忙碌的年轻人获取信息和消磨时光的主要方式,这种浅薄化、功利化的阅读方式带给人们便捷与轻松的同时,难免让人陷入浮光掠影的浮躁,流于肤浅。面对这样的大环境,我们的高校图书馆更崇尚经典阅读,强调阅读的品味和质量。各种诵读比赛、读书会、书展、书评活动层出不穷,它们或独立呈现,或穿插在读书节等系列活动中,或自成系类,旨在让我们的读者能慢下来,聆听经典著作的优雅,静下来,品味深度阅读的美好。 "	ZJTQ201901009
浙江省高校图书馆文化展览活动汇编		4	 	"在服务多元化时代中,展览有着独特的效果、魅力和作用,是图书馆服务的一项重要内容,有利于图书馆文化中心、文化环境的建设,以及图书馆品牌的树立。浙江省高校图书馆通过独立策展、联合展览、承办展览等形式组织了主题书展、藏品展、书画展、摄影展等形式多样的展览,有些展览配合讲座,取得了更佳的效果。为了将展览做得精益求精,有些图书馆策划展览的前期花费了大量的人力、物力和时间,例如中国美术学院图书馆举办的王忠秀藏黄宾虹艺术文献展,前期组织馆员花了1年的时间整理资料,不但丰富了馆藏,而且为学校的教学和科研提供了珍贵的文献资料,这值得更多的图书馆在组织展览时借鉴。 "	ZJTQ201901010
浙江工业大学图书馆		4	 	"<正>两年来,浙江工业大学图书馆以学校学科建设为主线,以教学、科研对文献信息需求为导向,遵循大学图书馆发展规律,坚持""读者第一,服务至上""的办馆宗旨,在图书馆的制度化建设、文献资源建设、读者服务、学科服务、校园文化建设、数字图书馆建设、职工队伍建设、对外交流与合作等方面取得明显成效,主动适应学校的快速发展,为学校的人才培养、科技创新和社会服务提供了文献信 "	ZJTQ201901011
嘉兴职业技术学院图书馆		5	 	"<正>在浙江省高等学校图书情报工作委员会、兄弟高校图书馆与学校领导的大力关心、支持和帮助下,嘉兴职业技术学院图书馆全体人员拉高标杆、追梦奔跑、求真务实、踏实工作。在党的十九大胜利闭幕之际,嘉兴职业技术学院图书馆成功承办了2017年浙江省高职高专院校图书馆馆长工作会议,来自全省53所院校的图书馆馆长、同仁及分委会 "	ZJTQ201901012
文献计量学视角下浙江省高校化学学科竞争力评价分析	高遐:41249833|蒋海灵:41249834|王钟:41249835	9	ESI; InCites; 化学学科; 学科评估;	"基于ESI与InCites数据库,采用学科环境、科研生产力、科研影响力与科研发展力等指标构建学科评估体系,揭示了浙江省高校化学学科的发展水平和科研竞争力,为浙江省高校""双一流""建设提供数据参考。 "	ZJTQ201802001
浙江高校作者为首的图书馆学情报学及档案学高被引、高下载论文的统计分析	缪家鼎:10280241|朱玉奴:09395699	8	浙江; 高校; 图书馆学情报学; 档案学; 高被引; 高下载;	"收集浙江高校作者为首的百余篇图书馆学情报学及档案学的高被引、高下载论文,对论文作者、单位、期刊、主题进行统计分析,并对高被引论文与高下载论文进行对比分析,以期展示与促进浙江省图情及档案工作和研究的发展。 "	ZJTQ201802003
近五年浙江省重点建设高职院校研究进展——基于核心论文的文献计量分析	朱兼白:45692970|蒋歌声:15336587	7	重点建设高职院校; 学术研究; 文献计量分析;	"以《中国期刊全文数据库》(CNKI)为数据源,以浙江省重点建设高职院校近五年发表核心论文的相关数据,采用文献计量及可视化方法,利用SATI3. 2和Ucinet6软件对数据进行处理,以了解浙江省5所重点建设高职院校的学者近五年的学术研究现状和发展动态。 "	ZJTQ201802004
2018年浙江省高职高专院校图书馆馆长工作会议在绍兴召开		1	 	"<正>10月24-25日,由浙江省高校图书情报工作委员会高职高专院校图书馆分委员会主办、浙江工业职业技术学院图书馆承办的2018年浙江省高职高专院校图书馆馆长工作会议在绍兴召开。来自全省47所高职高专院校的图书馆馆长、同仁及分委会委员60余人参加了会议。开幕式上,浙江工业职业技术学院党委委员、副院长陈齐苗研究员代表承办单位致辞,省高校图工委副主任兼秘书长田稷作重要讲话。 "	ZJTQ201802002
温州市“智慧图书馆建设与实践研讨会”在浙江工贸职业技术学院成功召开		1	 	"<正>11月29日,由温州市图书馆学会、浙江工贸职业技术学院图书信息中心主办,北京世纪超星信息技术发展有限责任公司协办的""智慧图书馆建设与实践研讨会""在浙江工贸职业技术学院举行,来自温州市各高校图书馆、市图书馆、市少儿图书馆、各区县图书馆馆长以及业务骨干等40余人参加了本次会议。本次研讨会以""智慧图书馆建设与实践""为主题,力在促进图书馆服务创新和转型,实现现代化智慧图书馆建设。开幕式上,浙江工贸职业技术学院党委 "	ZJTQ201802005
浙江省高校图书馆第七届青年学术论坛在杭师大举行		1	 	"<正>10月11日,由浙江省高校图书情报工作委员会主办、杭州师范大学图书馆承办、上海万方数据有限公司协办的浙江省高校图书馆第七届青年学术论坛在杭州师范大学举行。来自全省高校馆和部分公共馆的青年馆员共120余人参加了会议。浙江省高校图工委副主任、秘书长吴晨,浙江省高校图工委学术委员会主任赵继海等专家出席。本次论坛围绕""智能化背景下的图书馆服务拓展""展开了交流和探讨。杭师大图书馆副馆长何立芳研究馆员、上海万方数据有 "	ZJTQ201802007
2018年温州市图书馆学会理事会在温州职业技术学院图书馆召开		1	 	"<正>9月21日,温州市图书馆理事会第九届第三次会议在温州职业技术学院图书馆召开,市区、各县级公共图书馆和在温高校图书馆馆长、理事共计36人参加了本次会议。会议由温州市图书馆馆长胡海荣主持。会议主要审议了2018年度图书馆学会 "	ZJTQ201802009
2018年浙江省高校图书馆新任馆长交流研讨会在湖州举行		1	 	"<正>12月5—7日,由浙江省高校图书情报工作委员会主办、湖州职业技术学院承办的2018年浙江省高校图书馆新任馆长交流研讨会在湖州职业技术学院图书馆举行。浙江省图书馆学会副理事长、浙江大学图书馆党委副书记、省高校图工委副主任兼秘书长吴晨,省高校图工委副秘书长郑江平,湖州职业 "	ZJTQ201802012
浙江省高校图工委网络数字化专业委员会召开2018年度“信息技术&图书馆”会议		1	 	"<正>11月8—10日,""信息技术&图书馆""会议暨浙江省高校图工委网络数字化专业委员会2018年年会在杭州召开。会议由浙江省高校图工委网络数字化专业委员会主办,浙江工业大学图书馆承办,来自省内近30所高校的图书馆同仁,江苏省高校图书情报工 "	ZJTQ201802014
