篇名	作者	页数	关键词	摘要	filename
文献计量范式下的科学知识图谱研究：新进展与新挑战	赵丹群:06272500	27	科学知识图谱; 知识图谱; 知识图谱绘制; 文献计量; 引文分析; BibM范式;	"知识图谱是一个相对较新的交叉研究领域,目前已形成两种不同的研究范式——基于文献计量的Bib M范式和基于自然语言处理的NLP范式。文章聚焦于近年来Bib M范式的知识图谱研究,运用文献调研和比较研究方法,分别从数据源、研究策略、绘制工具、图谱解读与评估,以及未来突破多个方面,对该领域取得的研究进展及未来发展趋向进行了较为系统的梳理分析。本文主要综述发现包括:(1)知识图谱是典型的数据驱动型研究,得益于数据开放获取(OA)和开放引文(OC)运动的不断推进,其数据源的使用已经发生显著变化,近期正处于从基于题录数据向基于全文数据、从单一数据源向多源数据融合利用的转变中。(2)知识图谱的研究与分析策略主要包括基于引文数据的分析(涉及引用与被引用、书目耦合和同被引等关系)、合著/合作分析(涉及作者、机构以及国家/地区不同层面)和共词分析(含关键词、主题词及突现词等)。当前,在上述各种策略综合利用的基础上,针对更多知识实体(Knowledge Entities)开展更细颗粒度和更微观化的知识图谱研究已经提到了议事日程,相应地,研究策略也正从基于形式特征分析向更多依赖内容特征分析演变发展,涉及的知识... "	QBXJ202000011
科学数据共享及其发展趋势	屈宝强1:10589835|彭洁1:09583748|刘蔚1:39683759|普丽娜2:43532413	40	科学数据; 数据共享; 新型模式; 发展趋势;	"科学数据是一种重要的信息资源。近年来,科学数据共享特别是公共财政资助产生科学数据的管理、开放、共享与服务逐渐成为图书情报领域研究的重要内容。中国相继发布实施了《科学数据管理办法》《科学数据引用标准》,标志着科学数据共享研究与实践进入了一个新的时期。文章拟梳理科学数据共享的基本原理,解析科学数据共享运行体系要素,总结科学数据共享新型模式,以及科学数据共享在涉及范围、目标、实施等各方面的发展趋势。 "	QBXJ202000012
大数据分析:认识、方法与案例	曾忠禄:06235548	27	大数据; 大数据分析; 流程; 发展趋势; 分析工具; 案例研究;	"随着信息通信技术的发展,社会的数据大量增加,大数据分析的重要性日益显现。企业利用大数据分析可以降低成本,提高效益;研究人员利用大数据分析,能完成过去难以想象的分析,使研究进入崭新的领域;政府利用大数据分析,可以更好地预防犯罪,提高公共管理绩效。但大数据也有局限性。大数据并不等于更客观的数据,数据也不是越大越好。大数据分析,需要掌握数据的背景,需要有假设的指引,需要专业知识。大数据分析首先是确定要解决的问题或分析的方向,然后根据需求获取数据,清洁数据,加载数据。大数据分析的内容,目前正往实时预测分析和快速循环评估方向发展。大数据分析的软件和工具,因不同的公司,不同的分析任务,不同的复杂性而不同。简单分析靠电子表格就可以完成,但大型的复杂的分析常常需要多种软件和工具的结合使用。大数据分析常常需要涉及三种专业知识:领域(行业)知识、计算机编程和数据处理知识,以及系统管理知识。 "	QBXJ201800002
内容简介		1	 	"<正>本书是一本对情报学和信息技术应用领域研究进展的年度评论,反映最近一个时期该领域的热点问题及研究所取得的成果。本书选取在国内、国际上有一定研究成果,或有一定应用的课题,在一定程度上揭示了近年来情报学的研究现状、热点与趋势,利于回顾并引导相关研究。本书主要内容有:大数据分析:认识、方法与案例;数据科学及其对情报学的影响;引文分析研究与 "	QBXJ201800001
数据科学及其对情报学的影响	朝乐门:21723007	22	大数据; 数据科学; 情报学;	"大数据时代的来临,尤其是数据科学的出现将对情报学的未来发展产生深远影响。首先,讨论了数据科学的定义与特征;其次,深入分析数据科学的研究目的、理论体系、主要原则、基本流程和人才培养等基本问题;接着,调查分析了数据科学的理论研究和实践应用的现状与趋势;最后,探讨了数据科学与情报学的内在联系,并就如何借鉴数据科学的理论实现情报学的继承与创新问题提出了若干建议。 "	QBXJ201800003
引文分析研究与进展	赵蓉英:10141193|魏绪秋:34329848|王建品:37022561	31	引文分析; 研究进展; 引文分析方法;	"自1927年引文分析理念诞生以来,引文分析得到了广泛的应用。本研究首先从引文分析相关概念与特征出发,基于文献层面对引文分析研究在文献量、学科、主题演化、科研合作四个方面的特征进行了分析,然后分析了引文分析理论、方法与技术的新进展,最后指出了引文分析面临的挑战及发展方向。 "	QBXJ201800004
近五年来国内外“五计学”研究进展	文庭孝:28994530	36	五计学; 文献计量学; 科学计量学; 信息计量学; 网络计量学; 知识计量学; 补充计量学;	"""五计学"",即文献计量学(Bibliometrics)、科学计量学(Scientometrics)、信息计量学(Informetrics)、网络计量学(Webmetrics或Cybermetrics)和知识计量学(Knowmetrics或Knowledgometrics),一直是图书情报学、信息管理科学、科学学等学科领域研究的焦点。""五计学""分别以文献、数据、信息(包括网络数据和信息)、知识为研究对象,既有共同基础、交叉融合,又各有侧重点、自成体系,成为图书情报、信息管理和科学学领域计量研究的五个核心领域和研究方向。近年来,""五计学""在各个学科分支都取得了一定程度的突破和进展,出现了合作化与国际化、综合化与融合化、应用化与实效化、自动化与网络化等发展趋势。信息技术和大数据技术对""五计学""的发展带来了机遇和挑战,随着科学技术的进步和社会经济的发展,""五计学""研究领域不断拓展。 "	QBXJ201800005
智能信息技术发展现状、趋势与影响透视	王延飞:06274840|刘记:38456461|赵柯然:34451104|陈美华:36070857	37	人工智能; 智能信息技术; 情报学; 情报理论; 决策; 国家战略;	"文章简要分析了智能信息技术的概念,将人工智能技术作为智能信息技术领域的主要研究对象,论述了人工智能的分类、简史及其与决策的关系;追溯了情报学与人工智能的内在联系演变情况,阐明了新形势下情报学与人工智能的关系定位;梳理了2016—2017年度世界主要国家关于人工智能的战略制定、行业应用、科学研究等进展,探究了人工智能加速发展的原因,进行了发展趋势展望;在情报学兼顾发展与安全进行学科重塑和融合的大背景下,结合近年来大量国内外的实践案例,从基础理论、实践应用、专业教育等方面分析了新一代人工智能对情报学的影响,建议明确""醒得早、看得远""的学科定位目标,以情报的感知、刻画与响应为抓手,创新发展中国情报学术建设。 "	QBXJ201800006
地平线扫描的概念及案例研究	杜元清:36012130	38	地平线; 地平线扫描; 地平线扫描方法论; 地平线扫描案例; 技术监视; 技术评估; 弱信号; 情报学教育; 研究前沿;	"文章概述了地平线扫描的基本定义和起源;讨论了地平线扫描的几个重要概念——地平线、研究前沿、弱信号、技术监视、技术预见和技术评估,讨论了地平线扫描的概念模型、流程和方法;提供了英国、新加坡、美国的一些典型的地平线扫描实操案例,展示了地平线扫描三要素:扫什么、怎么扫、扫描成果怎么分发。鉴于地平线扫描理论和实践如此丰富高效,建议中国的情报学教育机构尽快添加地平线扫描的教学内容,培养更适应社会需求的人才。 "	QBXJ201800007
国内外信息源选择研究进展	王芳:08107849|张鑫:17733253	25	信息源; 信息源发展; 信息源选择;	"文章在阐述信息源的概念、分类和发展现状等基本问题的基础上,回顾了自20世纪60年代以来信息源选择的理论基础、影响因素等,前者包括与价值、社会资本及社会心理等相关的理论,后者包括信息源的可获取性和质量,任务的复杂性、重要性与紧迫性,搜寻者的社会资本等因素。最后,对信息源研究的特点进行了分析,并总结了该领域未来研究的发展趋势。 "	QBXJ201800008
支撑创新的情报保障研究进展	储节旺:06134336|吴川徽:36054440|陈善姗:38027838|是沁:35363391|李章超:34584067	31	服务创新; 情报保障; 信息保障; 情报分析;	"相较于信息保障,情报保障体系体现为纵向上的深化和横向上的拓展。文章通过对近年来服务创新领域的情报保障主题研究论文的梳理与分析,概述了情报保障的含义、创新对情报保障的需求、情报保障的创新作用、国内外创新的情报保障模式、数据信息管理相关法律法规,并通过分析海尔公司的情报保障模式进行案例展开。最后,对大数据环境下的创新情报保障研究进行了展望。 "	QBXJ201800009
信息偶遇研究综述	刘春茂:10008985|袁敬芸:39848756|杜雪:27841853	23	信息偶遇; 信息行为; 信息用户; 信息组织;	"文章在扫描、定量描述了近五年国内外相关""信息偶遇""研究领域的相关成果的基础上,重点对近年来""信息偶遇""研究领域所取得的成果从概念、特征、影响因素、理论模型、潜在实际应用等方面进行了多角度的梳理分析与总结。 "	QBXJ201800010
社交网络用户信息行为研究进展	邓胜利:10132783|赵海平:33022055|秦阳:36372677	28	社交网络; 用户信息行为; 研究进展; 研究热点; 发展趋势;	"随着在线社交网络的急速发展和用户数量的不断增长,社交网络中用户信息行为引起了学者的广泛关注。文章通过数据库检索和回溯检索两种检索方式对近5年内(2013—2017年)国内外社交网络用户信息行为相关文献进行检索,最终获得中英文文献382篇。通过对文献内容梳理,总结出当前研究领域的研究热点和前沿,并归纳了未来的社交网络用户信息行为研究的发展趋势。 "	QBXJ201800011
iSchool运动发展综述	常金玲:10312284|任照博:36071366|裴阳:38602591	22	iSchool; 情报学; 学科整合; 研究进展; 综述;	"随着信息技术的迅猛发展,在信息化、数字化、网络化、全球化、大数据的信息社会,情报学科的发展经历着前所未有的挑战。从美国发起的iSchool运动,整合传统的图书馆学、情报学、信息科学、计算机科学等信息学科群的各种教育及研究资源,形成了iSchool的富有特色的学科体系和教育研究体系,已经形成国际范围的规模,在新的信息社会显示出了其强大的生命力和影响力。如何辨析、借鉴iSchool运动中体现的学科转变、整合、重塑、适应,对我国的情报学学科体系进行重构,使之在泛在信息社会中生存、发展、壮大,形成自己不可被替代的特色,是目前迫切需要研究并解决的问题。本文查阅、收集国内外相关iSchool运动研究,首先对iSchool运动的起因、内涵以及发展状况进行了概括;其次,从iSchool本身的学科整合意义以及其影响的学科整合等方面探讨了iSchool与学科整合,并结合研究人员的特点、研究关注热点以及研究合作等角度分析了iSchool运动在科学研究上表现的特征;最后,从iSchool院校毕业生的就职角度观测iSchool运动成效。 "	QBXJ201800012
信息生态学的研究进展	靖继鹏:07659003|张向先:07672161|王晰巍:07670937	26	信息生态学; 基础理论; 学科体系; 研究进展;	"随着信息技术的迅猛发展,信息系统中人与信息环境之间的协调和可持续发展问题越来越突出,信息生态的理论与应用研究已引起了学术界和实业界的广泛关注。信息生态是指信息人与信息环境之间的相互影响和相互作用关系。信息生态学是一门新兴的交叉性学科,是运用生态学的理论和方法研究信息生态系统的构成、特征、运行机制和发展规律的学科。信息生态学的提出,把人类信息活动及其信息环境作为一个统一的整体来看待,有利于实现信息生态系统的平衡,促进信息生态系统中人与信息环境的协调和可持续发展。文章首先对信息生态学的产生和发展过程进行了概括;其次,对信息生态学的基础理论和学科体系进行了总结;再次,运用文献计量方法和内容分析方法对国内外信息生态学研究现状进行了比较分析;最后对信息生态学研究的热点问题及发展趋势进行了阐述。 "	QBXJ201600001
文献计量分析视角下的情报学理论研究进展	刘志辉:26421642|赵筱媛:15550606|许晓阳:31394447|梁子豪:34451109	20	情报学; 理论研究; 进展; 综述;	"文章从科学社会学的理论视角构建了一个基于不同数据集构建策略的比较分析框架,从不同层次对2012年以来国内外情报学的领域结构及其背景下的情报学理论研究进行分析与总结。分析结果表明,从跨学科研究的角度来看,信息学(Informatics)等相关学科的发展给传统情报学研究带来了新的机遇。国内外情报学领域结构具有不同的特点,国际情报学研究呈现出显著的认知科学驱动的定量化研究范式,而国内情报学研究具有图书与情报双中心的特点。从主要理论应用来看,国际情报学研究的定量研究特点比较明显,而且深入到了学科内部,国内情报学研究则更多地集中在相关学科层次。从理论结构来看,国际情报学研究具有更广阔的理论视野,而国内情报学研究与之存在一定差距,特别是在创新理论方面。目前国内外情报学界对情报学理论的研究主要集中在学科发展趋势、信息检索与信息计量融合、核心概念与理论体系以及理论应用研究。其中国内研究主要集中在理论应用。对于国内情报学界来说,迫切需要加强情报学理论,特别是理论研究方法论及工具的研究。 "	QBXJ201600002
我国情报学教育发展透析	"赵蓉英1,2:10141193|郭凤娇1,2:32557102|魏绪秋1,2:34329848"	29	情报学; 教育; 研究进展; 文献计量; 网络调研;	"从1958年创办科技情报大学开始,我国的情报学教育已有近60年的发展历程。文章从历史事件回顾、研究现状和招生分布三个维度对我国情报学教育发展进行了深度透析,总结了我国情报学教育发展的三个阶段和取得的成就,对我国情报学教育的研究现状进行了计量分析,并对情报学专业招生现状进行了全面的网站调研。最后,在对全文进行总结的基础上,对我国情报学教育的未来发展提出了相关建议。 "	QBXJ201600003
补充计量学的发展及应用	汤珊红:10953791|由庆斌:29999627|李天阳:28366533	26	补充计量学; Altmetrics; Altmetrics指标; Altmetrics工具; 文献计量学; 网络计量学;	"文章梳理了近年来有关补充计量学(Altmetrics)的研究情况,详细介绍了Altmetrics的产生背景、概念、研究对象、特点以及与传统计量学的关系,对比了现有的Altmetrics指标体系和Altmetrics工具。最后,介绍了Altmetrics的具体应用前景,分析了Altmetrics面临的挑战以及未来的发展方向。 "	QBXJ201600004
移动技术应用领域信息服务相关研究进展	李月琳:08772824|何鹏飞:36532828|梁娜:31992738|姜悦:38526733	30	移动图书馆; 移动学习; 移动应用; 移动信息行为;	"移动技术的蓬勃发展催生了信息用户与服务研究的新领域,包括移动图书馆、移动学习、移动应用(APP)以及移动信息行为研究等。文章综述这些领域的相关研究主题及研究现状,梳理和分析当前研究存在的问题与局限,并展望未来的研究。分析发现,在移动技术应用领域,信息用户及服务相关研究已取得了长足的进步,尤其是在技术与平台的建设和开发及用户技术采纳与接受相关研究领域。然而,也存在一些问题,如移动图书馆服务同质化,用户采纳和接受程度有限,缺乏对移动图书馆用户的认知以及心理行为的深入探究;移动学习方面存在用户采纳和接受程度不高、移动学习系统开发和建设过程中资源建设滞后、课程内容单一等问题;移动应用研究内容泛化、研究深度不够、缺乏实证研究等。未来的研究应更关注用户需求、用户行为模式和特点,无论是移动图书馆还是移动学习系统,都应加强信息内容与资源建设,提供更为丰富的信息资源与多样化的服务方式。同时,开展规范的实证研究,为开发和构建各类移动技术应用系统或平台提供实证支持。 "	QBXJ201600005
社会舆情分析研究与进展综述	王曰芬:08066737|吴鹏:08095591|丁晟春:08092475|陈芬:10792468	54	社会舆情; 舆情分析; 研究现状; 发展趋势; 综合分析;	"本文在广泛地收集国内外有关社会舆情分析的研究成果、研究相关项目基础上,综合论述了社会舆情的概念、特征、传播与深化、管理与引导的基本观点,重点综述了社会舆情的采集与组织、分析与挖掘、辅助决策分析与支持系统构建等技术方法,总结了基于社会网络的社会舆情传播分析的理论与方法,综合了社会舆情分析中网民群体行为特征分析的理论与主要建模方法,归纳了有关社会舆情分析的研究机构与研究项目。最后,提出了社会舆情分析研究的发展趋势。 "	QBXJ201600006
大数据时代:思维变革、产业转型与数据科学兴起	庞景安:09512634	33	大数据; 大数据思维; 大数据分析; 数据科学; 数据技术;	"文章简要论述了大数据时代引发的各种变革及转型,包括:大数据正在冲击人们的传统思维与决策;大数据分析已经成为决定企业竞争力的关键因素;在大数据浪潮中应运而生的数据科学与数据技术;以及大数据时代科技情报工作面临的机遇与挑战。 "	QBXJ201600007
国内外开放获取进展	初景利1:13619016|王应宽2:16747275|王铮1:31501276|赵艳1:11474436|刘凤红1:36616234|魏蕊3:14204151|韩丽4:16024121|栾瑞英1:35333908	47	开放获取; 机构知识库; 学科知识库; 开放数据; 学术专著开放获取;	"自20世纪90年代末以来,开放获取(OA)得到快速的发展,受到包括学术界、出版界、图书情报界的广泛关注。国际组织、专业组织、政府组织、科研机构、科研资助机构发布了相当数量的开放获取政策与倡议,开放出版资源数量稳步增长,开放出版资源质量逐步得到认可,开放获取的经济模式正在形成,在金色OA和绿色OA上都取得了长足进展。学术专著开放获取正在出现新的突破,专著的开放获取数量越来越多。除开放获取期刊、图书外,科学数据开放获取也在快速向前推进,开放数据的相关政策相继出台。国内外图书馆参与开放获取的积极性非常高涨,在开放获取中扮演重要角色,发挥了十分重要的作用。 "	QBXJ201600008
信息质量评价研究进展	刘冰:10589103	37	信息质量评价; 信息质量管理; 网络信息质量评价; 评价模型; 评价方法; 研究进展;	"信息质量问题的普遍存在性作为一个社会性问题,已经成为社会广泛关注的议题。信息质量的科学评价是解决信息质量问题的基础条件和根本保证。文章从信息质量评价理论基本流派、信息质量评价模型与构成维度、信息质量评价方法与工具、网络信息质量评价、信息质量评价应用等方面对国内外信息质量评价研究进行系统梳理与综述,以发现国内外该领域的研究脉络、主要研究观点、研究热点等,并对该领域未来的研究趋势作出分析。 "	QBXJ201600009
钱学森科技情报学术思想研究及其意义	"史秉能1:11354450|袁有雄1:29042807|卢胜军1,2:11568229"	44	钱学森; 科技情报; 情报思想;	"钱学森科技情报学术思想是钱学森据于科技情报工作实践对科技情报工作根本问题进行的科学理论概括,是指导科技情报信息工作发展的重要理论基础。文章较为全面地论述了钱学森科技情报学术思想的主要内容,包括科技情报工作是社会精神文明建设的一部分、情报是解决特定问题所需要的知识、科技情报工作是一门科学技术、情报资料信息系统建设、情报领域属于思维科学、科技情报工作包括信息服务工作和情报服务工作、国内科技信息资源建设、科技情报研究、科技情报工作要现代化九个方面,并对钱学森科技情报学术思想发展情况、研究现状和未来趋势进行了较为系统的分析,最后从我国科技情报学科建设和发展、情报信息系统建设、情报研究水平提升以及信息技术应用四个方面对钱学森科技情报学术思想的研究意义进行了阐述。 "	QBXJ201400001
网络新媒体资源发展与应用	真溱:10826829|汤珊红:10953791|王新:13573148|高丽:33766223	36	互联网; 移动互联网; 新媒体; 社交媒体; 信息资源; 信息传播;	"网络新媒体资源是近些年互联网中炙手可热的话题,同时也受到学术界和业界的广泛关注。文章主要以网络新媒体资源为研究对象,从科学交流模式转变的角度对网络新媒体进行解读,分析总结网络新媒体资源的发展历程和特点,望能为图书情报机构收藏、管理和利用网络新媒体资源提供新的研究角度。 "	QBXJ201400002
科技信息工作中大数据技术的应用和发展	陈豫:28530422|曾铮:28530424|王三梅:41994912	42	大数据; 科技信息工作; 情报分析; 信息服务;	"近年来,大数据发展在全世界得到广泛关注,对各行各业产生重要影响。文章从大数据的概念、特点和发展原因入手,介绍大数据在国外的发展现状,分析大数据背景下科技信息工作面临的机遇和挑战,探讨大数据背景下科技信息工作的发展重点。 "	QBXJ201400003
产业竞争情报研究进展	陈峰:09549385	31	竞争情报; 产业竞争情报; 信息服务; 理论方法; 研究进展;	"文章在全面了解国内外情况的基础上,基于产业竞争情报方面的期刊论文、学位论文、会议论文、研究报告、业务介绍等文献,阐述了产业竞争情报产生的背景和概念的由来。从九个方面分析了产业竞争情报理论方法研究进展。从我国科技情报信息机构提供的产业竞争情报产品与服务的实际工作角度,分析了产业竞争情报实践应用工作进展。从情报学界同行对产业竞争情报的评价、情报信息服务界开展产业竞争情报工作前瞻、国家高层人士对推进我国产业竞争情报工作的呼吁等角度,对产业竞争情报理论方法与研究进行了展望。 "	QBXJ201400004
基于多视角的情报分析方法研究进展	贺德方:09549395	44	情报研究方法; 文献计量分析; 内容分析; 文献调研; 研究进展;	"情报分析方法作为情报学领域关注的核心内容之一,一直是情报学研究人员的重点研究领域。然而随着科技情报工作环境的变化,情报分析方法研究也面临着越来越多新的挑战。因此系统梳理总结情报分析方法研究的最新进展,不仅有利于学界更加全面地了解已有知识基础与方法,而且也有利于把握情报分析方法研究的特点以及发展趋势。文章利用文献计量分析、内容分析等分析方法,以定性与定量分析相结合的形式,从情报学方法研究计量分析、重点期刊论文内容分析,以及典型情报机构最新方法研究进展等不同视角系统揭示情报分析方法研究2010—2012年的最新进展与应用。在此基础上,基于情报分析方法的功能性视角,系统归纳总结情报分析方法研究的热点、前沿以及发展趋势,以期能为国内情报分析方法研究提供参考与借鉴。提出了大数据环境下的情报分析范式与方法,这将成为新的研究前沿,大数据时代催生情报工程学的新概念。 "	QBXJ201400005
