篇名	作者	页数	关键词	摘要	filename
基于信息构建理论的图书馆协会网站可用性比较研究——以LSC与ALA为例	"夏太寿1,2:35054835|李淑涵2:37658854"	8	信息构建; 中国图书馆学会; 美国图书馆协会; 可用性; 网站比较;	"以中国图书馆学会(LSC)和美国图书馆协会(ALA)的官方网站为研究对象,以信息构建理论为基础,建立由要素、资源、服务三个一级指标以及若干二级指标、三级指标组成的网站可用性评价指标体系。然后根据指标体系设计出调查问卷,并通过问卷星(sojump)发放网络调查问卷。基于对283份调查问卷的统计以及对LSC和ALA两个网站的实际访问,分析比较LSC网站和ALA网站之间的异同,并根据调查结果分别对LSC和ALA的官方网站提出改进建议,以期为图书馆协会的网站设计提供参考和借鉴。 "	PTSQ201704011
高校图书馆文化品牌建设情况分析——基于39所“985工程”高校的调查	周培培:23497888	6	高校图书馆; 文化品牌; 品牌推广; 品牌建设;	"调查39所""985工程""高校图书馆文化品牌建设情况,从品牌展示、品牌推广及人员制度建设三个方面对调查结果进行深入分析,并从建立品牌认知,塑造品牌形象;注重品牌推广,提升品牌社会形象;建立人才组织与制度保障机制;进行品牌效果评估,完善品牌建设策略四个方面提出建议。 "	PTSQ201704012
中国设施农业专利计量分析	唐恒1:22854735|刘帅2:26061082	6	设施农业; 专利分析; 社会网络分析; IncoPat;	"以IncoPat数据库为来源,检索在中国申请的关于设施农业的专利。采用Node Xl和Excel作为主要分析工具,从申请量趋势、法律状态、专利权人、地域分布、主题迁移、IPC分布、高频被引专利、专利地图等方面对中国设施农业专利进行分析,反映我国设施农业专利技术的发展态势,找出不足,从政策和经费保障,加强对中西部地区专利意识的普及与财政、资金、人力支持,加大产学研合作力度促进企业向市场化和产业化转变,注重对设施农业技术的引导兼顾国外研究热门技术等四个方面为我国设施农业技术的未来进一步发展提供建议。 "	PTSQ201704013
2008～2016年《图书情报研究》载文、引文与被引分析	濮静蓉:38360664|刘桂锋:26191208	13	图书馆; 情报; 载文分析; 计量分析; 引文分析; 期刊评价;	"采用文献计量法和内容分析法,对2008~2016年《图书情报研究》载文、引文与被引进行全面深入扫描,重点关注专题研究和情报分析两个栏目。从载文量、栏目分析、作者分析、机构分析及主题分析五个方面具体分析其载文情况;从引文语种、引文类型及期刊引用分析三个方面分析其引文情况;从期刊被引及载文被引两个方面分析其被引情况。得出栏目设置合理、作者地域宽广、名家新人竞逐、论文选题聚焦、研究方法多元、引文类型多样及被引情况良好的结论。 "	PTSQ201704014
2017华夏阅读论坛暨书评馆员培训与全民阅读立法促进研讨会举行		1	 	"<正>10月30日-11月1日,由中国阅读学研究会、中国图书馆学会图书评论与阅读推广专业委员会、江苏省图书馆学会阅读推广委员会及江苏省高等学校图书馆情报工作委员会主办,江苏大学图书馆承办的2017华夏阅读论坛暨书评馆员培训与全民阅读立法促进研讨会在江苏镇江隆重举行。来自全国各级各类图书馆工作者及特邀专家、学者等近300人参加会议。江苏大学宋余庆副校长向与会嘉宾简要介 "	PTSQ201704015
本刊2017年篇目索引		2	 	 	PTSQ201704016
征稿启事		1	 	"<正>《图书情报研究》系由江苏大学主办的图书馆学、情报学、档案学学术刊物(ISSN 2222-1603),热忱欢迎广大作者投稿。本刊以广大图书、情报、档案工作者和图书情报学、档案学专业师生为主要读者对象,坚持""百花齐放,百家争鸣""方针,注重理论性与实践性相结合、微观性与宏观性相结合、探索性与指导性相结合、学术性与可读性相结合、普及性与提高性相结合,致力于为学术研究搭建一个新的交流平台,着力打造学术精品。本刊不受任何商业利益驱动,将矢志不渝地坚守学术研究的一方净土,质量和创新性是本刊考量稿件的唯一标准。本刊栏目主要有:学术观察、专题研究、理论探讨、实践研究、事业发展、资源建设、管理论坛、情报 "	PTSQ201704017
2020美国图书馆协会白皮书	聂云贝:45632554	13	 	"<正>引言2020年美国国家图书馆周的主题是""在你的周围找到图书馆""。(原定的主题""在图书馆中找到你的位置""改为现在的主题,反映了新型冠状病毒肺炎对图书馆的影响,并强调图书馆正在如何为它们的社区提供比以往任何时候都更多的虚拟服务和数字内容)。该主题的灵感来源于2019-2020年美国图书馆协会(ALA)主席万达·凯·布朗(Wanda Kay Brown)的倡议""寻找您的ALA"",该倡议旨在从社会公正和包容的角度 "	PTSQ202003001
高校图书馆嵌入式信息素养服务的可持续性成效研究——以上海交通大学图书馆为例	朱红艳:32015978|陈一梅:39503403|姜静华:08517186|王兴旺:36901251	9	高校图书馆; 嵌入式信息素养课程; 成效评估; 发展方向;	"[目的/意义]探析高校图书馆嵌入式信息素养服务成效,以期指导未来高校图书馆深入开展院系教学延伸服务的实践。[方法/过程]运用分面分类法、文献调研法、问卷法和文献计量法以及列联表统计分析法,分析高校图书馆嵌入式信息素养服务成效与学生需求,对需求进行分析是基于将来按需开展精准的嵌入式信息素养服务的考量,并利于未来对教学服务水平和质量的改进。[结果/结论]上海交通大学图书馆嵌入式信息素养课程的课后评估结果表明,上过课的学生在信息分析、信息鉴别与利用等信息素养能力以及学术科研意识方面都明显高于未参加过该课程的学生,并且增强了学生对专业课程的理解能力。未来高校图书馆嵌入式教学服务的发展方向,可从三个阶段展开:第一,课前备课设计阶段,从学生嵌入式信息素养需求出发,融入符合学生学习发展阶段的个性化精准服务;第二,课中协作阶段,进行分层教学,从学生信息素养水平出发:开展实践互动、体验式学习;第三,课后反馈阶段,对学生满意度和需求进行调查并构建信息素养反馈和评价的系统平台。 "	PTSQ202002002
“双一流”建设下高校图书馆学科情报服务体系——以上海交通大学图书馆的实践为例	于夏薇:43575343|陈幼华:09591353	7	高校图书馆; “双一流”建设; 学科情报服务; 体系架构; 学科态势分析;	"[目的/意义]总结上海交通大学图书馆学科情报服务案例,构架学科情报服务体系,为高校图书馆开展学科情报服务提供参考。[方法/过程]通过文献综述、网络调研、案例分析等方法,分析""双一流""建设背景下高校学科发展新需求,从学科情报服务内涵、流程、分析方法、服务产品体系等维度系统分析研究,构建学科情报服务体系。[结果/结论]由学科领域科技动态监测、学科领域发展态势分析、学科发展规划调研和分析、人才遴选与评价、机构科研竞争力评估评价、知识产权分析评议六类学科情报产品构成的体系能够支撑""双一流""建设发展需求。 "	PTSQ202002003
图书馆信息服务读者满意度影响因素研究	程豪杰:39156889	8	图书馆; 读者满意度; 信息服务;	"[目的/意义]以国家图书馆为例,对读者信息服务满意度进行研究,以期为图书馆相关创新服务工作提供借鉴。[方法/过程]构建图书馆信息服务对读者满意度影响的概念模型,通过调查,收集202份有效问卷,利用结构方程模型对概念模型进行验证分析。[结果/结论]读者满意度可通过""馆藏资源""、""资源获取""、""图书馆服务""、""服务保障""、""环境设施""六个维度进行有效测量,这六个维度都对读者满意度有显著的正面影响,其中读者对国家图书馆的""环境设施""满意度最高,依次是""图书馆服务""、""服务保障""、""资源获取""、""馆员服务能力"",读者对国家图书馆的""馆藏资源""满意度最低。并且通过因子载荷确定各维度的权重,最终计算出读者对国家图书馆信息服务满意度的具体数值。基于分析结果,分别从六个维度提出建议。 "	PTSQ202002004
信息空间理论下高校图书馆自媒体服务模式研究	刘竟:22121429|张禄芬:41088093|王亚楠:33821066	6	自媒体; 信息空间理论; 高校图书馆; 服务模式;	"[目的/意义]自媒体是高校图书馆面向读者推送资源与服务的重要工具,是实现高校图书馆与读者、读者与读者互联的虚拟空间,对高校图书馆自媒体服务的研究可以拓宽图书馆服务范围,丰富图书馆自媒体服务的理论体系。[方法/过程]借助信息空间理论提出高校图书馆自媒体的服务空间,分析高校图书馆自媒体的服务模式,并对其实施策略进行探讨。[结果/结论]高校图书馆自媒体服务空间包括感知空间、互联空间和共享空间,对自媒体服务过程中的服务推广、资源推送以及互动交流模式的实践具有指导作用,在此基础上,提出建立具有完整流程的自媒体服务模式、完善自媒体环境下可推送资源体系、搭建自媒体动态感知网络的策略建议。 "	PTSQ202002005
国家图书馆部委分馆筹建与运维探析——以最高人民法院图书馆为例	张丽:29587814	5	国家图书馆; 部委分馆; 最高人民法院图书馆;	"[目的/意义]国家图书馆人民法院分馆成立于2015年,是国家图书馆第16家部委分馆,分馆搭建立法决策服务平台,充分运用信息化技术提供文献服务。本文分析人民法院分馆模式的发展现状、存在的问题,并就国家图书馆部委分馆的建设提出未来展望。[方法/过程]通过派驻参考咨询馆员到人民法院分馆工作的模式,总结筹建和运维最高人民法院图书馆的经验,探讨人员配备与服务需求存在差距、部委分馆共建共享理念尚未实现的问题。[结果/结论]从培养专业化人才,提升业务水平、共享部委分馆专业化的特色资源、加强沟通交流,开展切实合作等几个方面提出几条展望,提升国家图书馆部委分馆未来的服务。 "	PTSQ202002006
美国高校图书馆数字人文中心网站建设对我国的启示	朱思苑1:44720667|卢章平2:07783528	8	数字人文中心; 高校图书馆; 网站建设; 案例分析; 美国;	"[目的/意义]对美国运行良好、信息完善的部分数字人文中心网站进行调研,分析其对我国数字人文中心网站建设的启示。[方法/过程]运用网站调查法和内容分析法,探究美国6所高校以图书馆为主体建立的数字人文中心网站,从界面设计、中心简介、项目成果、资源提供、新闻公告等多个角度,详细分析其网站内容及特色。[结果/结论]提出我国高校在数字人文中心网站建设上应做到界面设计新颖,符合大众审美;紧扣人文主题,加强图书馆元素渗透;重视项目成果的后续运行与推广;有效整合数字人文专有资源;加强网站互动功能;立足本校特色,注重品质。 "	PTSQ202002007
公共图书馆文旅融合实践研究——以浙江省为例	廖鑫欣:31968091	6	文旅融合; 公共图书馆; 浙江;	"[目的/意义]为梳理和总结公共图书馆在文旅融合背景下的率先尝试,提高公共图书馆文旅融合内涵和融合途径的可行性。[方法/过程]实证分析浙江省公共图书馆文旅融合的案例,总结出合作融合、改造融合、角色融合、阵地融合等四种公共图书馆文旅融合方式。[结果/结论]提出文旅融合背景下的公共图书馆应依托主题分馆、新馆建设等契机,利用现代化技术、积极寻找公共图书馆文旅产业链的结合点,主动融入到全域旅游的大环境中。 "	PTSQ202002008
中国儿童图书馆事业发展的历史分期探究	张丽:26687272	10	儿童图书馆; 发展历史; 历史分期; 中国;	"[目的/意义]""分期""既是学术史研究的一个基本问题,也是一种基本的学术史研究方法,儿童图书馆事业发展分期问题的探讨是开展儿童图书馆学术史研究的起点与基础。[方法/过程]利用社会分期法和时代分期法相结合的方式,对儿童图书馆事业自肇始时期(民国)一直到今天的发展历史进行分期研究。[结果/结论]将儿童图书馆事业划分为三个时期——民国之前(1895-1911年)、民国时期(1911-1949年)与现代儿童图书馆事业发展期(1949年-至今)。民国时期(第一个繁荣期)又分为五个阶段:1912-1917年的初创时期、 1917-1925年的起步时期、1925-1931年的推进时期、1931-1937年的发皇时期、1937-1949年的艰难求存时期。现代儿童图书馆事业发展期细分为五个阶段:1949-1965年——重建时期,1966-1976年——停滞时期,1977-1990年——振兴时期(第二个繁荣期),1990-2000年——改革时期,2000之后——快速发展时期(第三个繁荣期)。 "	PTSQ202002009
基于R语言的ESI四组指标的可视化	袁润:45728048|韩曦:41871538	8	ESI指标; R语言; 可视化;	"[目的/意义]探讨ESI四组指标的功能,探索四组指标可视化的应用,有利于学科服务部门针对性地开展学科情报服务工作。[方法/过程]采用R语言ggplot2包绘制了3种类型的ESI各项指标的可视化图,更好地发挥ESI的学科情报价值。[结果/结论]视图1能够较好地表达一组指标的三个参数,但是当""气泡""参数接近时,存在""聚集""现象,区分度不好。视图2对视图1进行补充,可视化效果更好。视图3可清晰观测出分析对象在22个学科中的表现情况。案例分析结果表明,将这三种类型的视图组合运用,可使研究人员更精准地发现隐藏的学科情报信息,使得高校图书馆的ESI数据采集更加高效,数据分析和结果展示更为直观清晰,基于ESI的学科情报服务更加精准,更具有针对性,更有利于决策,具有推广价值。 "	PTSQ202002010
基于专利导航的镇江航空产业高质量发展路径研究——以校企专利成果对比为例	阮冰颖:41047724|刘桂锋:26191208	7	航空产业; 专利导航; 知识产权; 技术创新; 高质量发展; 长三角一体化;	"[目的/意义]专利信息可以直观反映公司技术发展情况,客观地反馈科研活动,研究专利导航在航空产业中的作用,对优化产业布局、产业升级、提高企业核心竞争力,增加企业利润率有重要意义。[方法/过程]采用专利信息计量,从专利申请数量、主要发明人、技术热点角度,分析镇江航空产业园中的七家公司、国内九所航空类高校以及与高校合作申请专利的航空制造公司2009—2019年的专利信息;通过网络调查法和文献调查法,构建通用航空产业链,并绘制飞机零部件研发制造与镇江航空产业园内七家公司的技术热点二维表格。采用案例法分析江苏美龙航空部件有限公司主营业务,结合以上高校和企业的技术热点,基于专利导航视角探讨其合作路径。[结果/结论]研究发现,镇江航空产业园内七家公司的产品均位于通用航空制造产业,且都是以生产零部件为主,并从政府培育、对接长三角一体化国家战略、发挥专利导航功能等角度,提出促进镇江航空产业高质量发展路径的对策和建议。 "	PTSQ202002011
基于文献计量的国内LDA主题模型研究进展分析	王鹏飞:28274039|张斌:07288335	8	文献计量; LDA主题模型; 科研产出; 研究趋势;	"[目的/意义]梳理""LDA主题模型""提出以来的国内研究现状,总结其研究趋势和发展情况,为进一步在情报学领域利用该模型进行研究提供参考和借鉴。[方法/过程]在CNKI中进行相关检索,得到符合要求的文献作为数据集,从年度发文量、高产出作者、高产出机构、作者之间的合著情况、高产科研机构之间的合作情况、文献来源情况以及相关文献的关键词之间的共现情况等方面进行分析,并通过可视化软件进行结果展示。[结果/结论]从年度发文量来看,LDA主题模型的研究论文呈现出数量逐步上升的趋势,说明进行该模型的有关研究具有一定的可行性;结合高产出作者和作者之间的合著情况来看,LDA主题模型的有关研究更加趋向于计算机相关领域;从高产出机构的情况来看,地理位置在东部和南部的相关科研机构更容易在LDA主题模型的有关领域占据领先位置,""985""、""211""以及""双一流""高校凭借自身优势更容易获得科研资源,产生出大量成果;从关键词之间的共现情况来分析,以""LDA""为主要出发点开展相关研究,主要涉及到""主题模型""和""主题挖掘""内容,这一点可以和""大数据""背景下的情报领域相关发展结合起来。 "	PTSQ202002012
图书馆创客空间研究现状述评与展望	刘中研:42113652|曹政:42113654|刘燕斌:44720668	9	图书馆; 创客空间; Citespace; 可视化; 文献计量; 空间再造;	"[目的/意义]揭示图书馆创客空间近年来研究现状,总结归纳出当前研究热点,指出现有研究的不足及后续研究的空间。[方法/过程]以2013-2018年CNKI收录的451篇图书馆创客空间文献为样本,基于文献计量和可视化软件,对绘制的作者、研究机构、关键词等知识图谱进行分析,归纳出当前图书馆创客空间的研究热点,并对每个研究热点进行解析,最后提出建议与展望。[结果/结论]结果显示,领域内作者和机构之间合作较为单一,缺乏跨领域跨机构之间的合作,研究重理论轻实证,最后提出应注重图书馆创客空间实证案例研究,加大图书馆创客空间跨学科交叉研究力度,构建图书馆创客空间服务评价体系,探索图书馆创客空间多主体协同共建机制。 "	PTSQ202002013
下一代图书馆管理系统新探——以用户需求为导向的类基础设施服务平台构想	唐静:28296855|史红娟:09749648	5	下一代图书馆管理系统; 类基础设施服务平台;	"[目的/意义]随着图书馆馆藏资源类型的不断丰富、服务内涵与外延的不断拓展,传统的以纸本资源管理为核心设计的集成管理系统已经不能满足图书馆不断发展的需要,下一代图书馆管理系统的研发亟需提上日程。[方法/过程]分析国内外图书馆管理系统的研发现状与市场情况,在对大量读者实际调查走访的基础上提出下一代图书馆服务平台的建设构想,希望能为当前相关研究与平台选择提供参考。[结果/结论]下一代图书馆服务平台的建设目标不应是对现有系统的改良,实现一两个具体功能,而应着力打造一个类基础设施的服务平台,支撑图书馆从以资源建设为中心向以用户服务为中心转型。设计出包含基础层、接口层、业务层、用户层、应用层的下一代服务平台体系架构,该平台具有数据与业务分离、无边界、多类型资源的全生命周期统一管理、真正以用户为中心以数据驱动业务发展、无缝集成能、全用户等功能特性。 "	PTSQ202002014
广雅书院藏书述略	汪洋:44720669	6	广雅书院; 书院藏书; 藏书管理; 藏书制度;	"[目的/意义]本文围绕广雅书院藏书事业进行专门性、系统性的论述,旨在研究晚清岭南地区藏书楼及其管理者在西方新思想影响下发生的藏书转变。[方法/过程]从藏书来源、藏书类型以及藏书管理三个方面对广雅书院的藏书事业予以述略。[结果/结论]广雅书院在书院学规制度上重视藏用书籍,在刻书甄选上重视版本校勘与收录时政新学书籍,并且藏书楼在一定范围内对外开放的管理方式方法,都对当代图书馆的服务理念仍有可资借鉴与传承之处。 "	PTSQ202002015
道潜《参寥子诗集》版本考述	黄贞子:39767579	5	道潜; 《参寥子诗集》; 版本; 宋代;	"北宋诗僧道潜所著《参寥子诗集》,传世可见的均为十二卷本,主要可分为三个版本系统:一本为北宋释法颖编刊本,有两部清钞本从此本传写;一本为宋释宗譓重集本,有明正统本据此本重刊,清人黄丕烈也曾影钞此宋本;一本为明崇祯十五年汪汝谦刊本,清光绪二十五年丁丙刊本乃据此本重刊。此外还有明清钞本数部,其版本源流待考。 "	PTSQ202002016
两《唐书·高祖本纪》疑误考辨	杨晓云:42745596	4	两《唐书》; 《高祖本纪》; 考辨;	"[目的/意义]通过对中华书局点校本两《唐书·高祖本纪》中的四处史料讹误之处进行考辨,企盼学者在利用两《唐书》时避免以讹传讹。[方法/过程]利用陈垣先生""校勘四法""中的本校法、他校法和理校法,对两《唐书·高祖本纪》中的讹误之处进行校勘。[结果/结论]第一,《旧唐书》中""太穆皇后""当作""穆皇后"",""太""字属衍文;第二,《新唐书》中""右骁卫将军""当作""右骁卫大将军"",脱""大""字;第三,《新唐书》中""赵恭仁""当作""杨恭仁"";第四,《新唐书》中""淮南道""当作""东南道""。 "	PTSQ202002017
《春晖大地》:这是一部独特而有文化与艺术意义的书	段怀清:06695164	2	《春晖大地:赛珍珠主题诗书画影印作品集萃》; 赛珍珠研究;	"《春晖大地:赛珍珠主题诗书画影印作品集萃》一书的编纂出版,显然具有独特的文化意义和出版价值。它将赛珍珠的意义与价值,从文学与学术领域,延伸扩展到文化和精神领域,通过诗书画影印这样五种极富中国传统文化特质的艺术形式,新颖别致地呈现赛珍珠的生平,丰富多样地诠释赛珍珠的人桥理想。 "	PTSQ202002018
一个主题 五种艺术——卢章平主编《春晖大地——赛珍珠主题诗书画影印作品集萃》简评	姚君伟:08078217	2	《春晖大地:赛珍珠主题诗书画影印作品集萃》; 赛珍珠研究;	"《春晖大地:赛珍珠主题诗书画影印作品集萃》通过多种艺术形式,介绍赛珍珠传奇的一生和她所追求的文化理解与理想,同时分析赛珍珠的文学作品,扩大赛珍珠在国际上的影响,值得推荐给中国学术界和艺术界。 "	PTSQ202002019
评《春晖大地》	眭谦:33544338	2	《春晖大地:赛珍珠主题诗书画影印作品集萃》; 赛珍珠研究;	"《春晖大地:赛珍珠主题诗书画影印作品集萃》是一本中英文双语的赛珍珠生平回顾纪念集,该书采取诗书画影印合集形式,全方位、多角度表达了镇江人民对赛珍珠的深厚情谊,是一部艺术杰作。《春晖大地》的出版,开辟了一条沟通中西方文化的新渠道,在传播中国人文形象方面起到积极作用并具有独特的文化价值。 "	PTSQ202002020
高校图书馆服务标准研究的创新之作——评《高校图书馆服务标准体系研究》	"李洋1:32836231|温亮明2,3:45684368|郭蕾4:42443813|赵青1:25339883"	5	高校图书馆; 服务标准; 标准体系; 书评;	"[目的/意义]目前国内关于高校图书馆服务标准的研究和实践尚不成熟,鲜有学者、管理部门、行业协会、服务主体等提出并制定相应服务标准。2017年6月,科学出版社出版了西南大学李健博士所著《高校图书馆服务标准体系研究》一书,对推动国内相关研究有一定意义。[方法/过程]从多个角度全面分析该书的学术思想和理论实践意义。[结果/结论]《高校图书馆服务标准体系研究》对高校图书馆服务标准相关问题进行了较为系统的理论分析与深入的实证探讨,构建了以大量事实资料为依据的高校图书馆服务标准体系。该书理论较扎实,内容较完备,方法较科学,过程较规范,可为高校图书馆服务标准的相关研究提供一定的指导,对于高校图书馆标准化服务的实践而言亦具有指导意义与参考价值。 "	PTSQ202002021
构建中国特色的情报学	李广建:06264278	3	情报学; 发展; 中国特色;	"[目的/意义]近年来,国内关于情报学的研究范围、研究内容和学科体系问题,引起了学界和业界的关注和讨论,这些研究,充分反映出中国情报学的研究特色。构建中国特色的情报学,已经成为当前学界和业界共同呼声。[方法/过程]对""中国情报学的发展""这一论题进行研讨,形成《情报学体系架构初探》、《中国情报学特色研究》、《从中美学科对应的视角看中国情报学研究分歧与解决方案》、《关于我国情报学发展的问题研究》、《中国情报学发展路径研究》等5篇论文。[结果/结论]中国情报学有自己的特色,也存在着自己的问题,坚持走自己的道路,发挥自己的优势,中国情报学大有前途。 "	PTSQ202001001
情报学体系架构初探	张庆芝:43422091|李广建:06264278	9	情报学; 学科特征; 体系架构; 横断学科;	"[目的/意义]近年来,情报学到底是一门什么样的学科,成为情报学界的重要讨论问题,随着科技的进步与国策的引领,情报学的学科作用和地位与社会需求下情报学学科未来发展目标产生一定冲突。在此背景下,需要新的情报学体系架构。[方法/过程]从学科和情报工作实践两个方面对情报学的发展进行梳理。通过对各个分支应用学科的研究对象、研究问题、分析方法、分析流程、思维方式的对比与总结,进而在此基础上提出情报学的学科体系架构。[结果/结论]作为学科术语的情报学,是一门横断学科,是一种研究框架(理念、思维、意识、原则),是情报研究和情报工作的""世界观""和""方法论"",是对情报研究和情报工作一般规律的概括和总结。而科技情报学、军事情报学、安全情报学、经济情报学、医学情报学、农业情报学等则是情报学这一学科的分支应用学科,是情报学思想原理和方法在具体领域的情报研究过程中的应用。情报学与各个分支应用学科相辅相成,共同构成了情报学这个完整的学科体系。 "	PTSQ202001002
