篇名	作者	页数	关键词	摘要	filename
中国科学:信息科学(月刊)		1	 	"<正>简介:力求刊载信息科学领域最高学术水平的中文文章,及时报道计算机科学与技术、控制科学与控制工程、通信与信息系统、微电子与固体电子学等领域基础与应用研究方面的原创性成果.推动信息科学技术发展,搭建理论与技术应用的桥梁,促进与各学科、各行业的交叉融合.月刊,每月20日出版.中、英文版是相对独立的两个刊物.栏目:评述、论文、观点与争鸣、快报、学术介绍等检索:被《中文核心期刊要目总览》、《中国科学引文数据库》、《中国期刊全文数据库》、《中国科技论文与引文数据库》、《中国数字化期刊群》、SCOPUS等收录. "	PZKX202009011
创新发展中的可信计算理论与技术	"冯登国1,2:15944981|刘敬彬2,3:45324667|秦宇2:17522890|冯伟2:29287463"	21	可信计算; 可信执行环境; 移动可信计算; 抗量子可信计算; 可信物联网; 可信云; 可信区块链;	"可信计算以硬件安全机制为基础,建立可信赖计算环境,从体系结构上全面增强系统和网络信任,是当前学术界和产业界的关注热点.随着信息技术的深入发展,新应用场景的不断涌现,网络空间的安全威胁日益严峻,因此可信计算在重要信息系统的安全防护领域将发挥越来越重要的作用.本文从创新发展角度,围绕作者20年来在可信计算领域的研究成果,综述了可信计算理论的发展历程,提炼总结出涵盖两大方法基础、三大信任核心和四大关键技术的可信计算技术体系,阐述了移动可信计算、抗量子可信计算、可信物联网、可信云、可信区块链等方面的重要研究问题以及可信计算在这些领域的融合创新成果.在移动可信计算方面,软硬件结合的可信执行环境体系架构设计和实现是研究重点,其次,移动操作系统内核运行时安全隔离防护,以及基于可信执行环境(trusted execution environment, TEE)的移动应用安全防护也是两个重要研究问题.在可信物联网方面,由于嵌入式环境本身的特性以及资源的受限,轻量级的信任根构建、高效安全的软件证明、实用的安全代码更新机制、集群设备证明是该领域有待进一步研究的重要问题.在抗量子可信计算、可信云、可信区块链等... "	PZKX202008001
安卓恶意软件检测方法综述	范铭1:30634583|刘烃1:09059486|刘均2:09080224|罗夏朴3:38922777|于乐3:43702858|管晓宏1:10177219	30	安卓; 恶意软件检测; 家族识别; 机器学习;	"在过去的十几年间, Android系统由于其开源性、丰富的硬件选择性以及拥有百万级别应用市场等优点,已经迅速成为了目前最流行的移动操作系统.与此同时, Android系统的开源性也使其成为了恶意软件的主要攻击目标.恶意软件的快速增长给移动智能手机用户带来了巨大的危害,包括资费消耗、隐私窃取以及远程控制等.因此,深入研究移动应用的安全问题对智能手机生态圈的健全发展具有重要意义.本文首先介绍了恶意软件检测所面临的问题与挑战,然后综述了近些年的恶意软件检测所使用的数据集信息以及相关方法,将现有方法分为了基于特征码、基于机器学习以及基于行为3大类,并针对各方法所使用的技术进行了归纳总结,全面比较和分析了不同技术的优缺点.最后,结合我们自身在恶意软件检测方面的研究基础对未来的研究方向和面临的挑战进行了探索与讨论. "	PZKX202008002
基于程序分析的大数据应用内存预估方法	胡振宇:41250352|石宣化:07592035|柯志祥:37810698|金海:07599718|王斐:07592445	19	内存管理; 生命周期; 代码诊断; 数据处理系统; 分布式系统;	"基于内存计算模型的分布式数据处理系统,如Flink和Spark,经常遭受严重的内存压力,尤其在平台内存资源紧张,且被多个用户或组织共享情况下,内存资源竞争进一步加剧.用户应用被分配的内存空间不足,会在运行期间产生严重的垃圾回收(garbage collect, GC)开销,而分配过量的内存会导致平台资源的浪费.因此平台中如何为用户应用配置合适的内存成为关键问题.通过研究分析发现,平台上的多个应用会多次共同处理某个特定的数据集,且应用对数据的处理逻辑具有相似性,如图计算和机器学习应用;大数据应用框架的算子API和用户自定义方法 (UDF)与数据处理逻辑有着密切的关系,继而影响运行时内存的使用.基于该发现,本文提出了一种预估新提交应用的合理内存阈值的方法.该方法利用程序分析与历史应用处理数据特征分析,基于kTree判断与历史应用的数据路径的相似性来预估新应用的合理内存阈值,并在Spark系统上实现该方法.通过一系列实验评估预估的准确性和性能收益,实验结果表明本方法预估大数据应用的结果与真实合理内存阈值的误差比例低至4%,预估过程所产生的开销与应用运行时间相比可以忽略不计,平台上数据处理应用... "	PZKX202008003
基于网络嵌入方法的耦合网络节点表示学习	"韩忠明1,2:10694502|刘聃1:43832824|郑晨烨1:39183932|刘雯1:30663601|段大高1:15133300|董健3:34629296"	20	网络嵌入; 节点向量; 耦合网络; 表示学习; 社团划分; 主体识别; 标签分类;	"网络节点表示学习是网络数据分析挖掘中的一个基础问题,通过学习网络节点表示向量,可以更加精准地对网络节点进行表征.近年来,随着深度学习的发展,嵌入方法在网络节点表示学习方面得到了广泛应用.同时,网络数据在规模、模态等特征方面也有了很大的变化,研究重点从单网络分析挖掘逐渐演变至耦合网络分析挖掘.本文首先分析了嵌入方法在单网络节点表示学习中的研究现状,对比了现有方法的优劣.然后借鉴单网络中嵌入方法的思想,针对耦合网络提出了耦合网络嵌入模型CWCNE.针对耦合网络的特性,改进了嵌入方法中的游走算法,提出了一种网络间带约束的随机游走策略;同时改进了模型的训练方法,使用网络间迭代训练的方式来学习模型参数.最后使用了社交耦合网络、学术耦合网络、影视耦合网络、诗词耦合网络、著作耦合网络等5组数据集验证了CWCNE的有效性.并在社团划分、实体识别、标签分类等任务上取得了良好的结果. "	PZKX202008004
基于共享随机效应和特异稀疏效应的混合多任务学习模型	彭毫1:22660389|王雎2:22115270|王尧3:10564390	22	多任务学习; 随机效应; 稀疏性; 变量选择; Bayes推断;	"在多任务学习问题中,随机效应(random effects)可能同时存在于所有子任务中,而每个子任务又存在对应的稀疏效应(sparse effects).这在文本分析尤其在对电影评论的情感分析中,尤为常见.在本文中,我们提出一种用于数据中同时存在共享随机效应和特定稀疏效应的混合多任务学习模型,并命名为MSS (multi-task learning with shared random effects and specific sparse effects)模型.在模型的建立过程中,我们利用Bayes框架,针对不同效应的特点设定不同的先验分布和超参数.在模型的求解过程中,我们使用变分推断克服Bayes推断中的计算难题,使MSS模型在大规模数据分析中具备广泛的适应性.通过全面的模拟数据实验和真实数据实验的分析结果,我们展示了MSS模型在模型预测和变量选择方面同时具备随机效应模型(random effects models)和稀疏回归模型(sparse regression models)的优势,相比已有方法大幅提高泛化性能. MSS模型通过对多任务学习模型中不同效应的区分,能够更加有效的... "	PZKX202008005
基于样本稳定性的聚类方法	"李飞江1:31528567|钱宇华1,2:08454095|王婕婷1:32464908|梁吉业2:08408575|王文剑2:08402641"	16	机器学习; 无监督学习; 聚类分析; 样本稳定性; 稳定性理论;	"数据类型和分布的复杂化导致样本间关系的不确定性增强,给有效挖掘数据的潜在类簇结构带来挑战.为降低样本关系不确定性对数据聚类带来的影响,本文将聚类集成中样本稳定性概念扩展至聚类分析中.本文从理论上分析样本稳定的合理性,并提出基于信息熵的样本稳定性度量方法.此外,本文提出一个基于样本稳定性的聚类方法,该方法先将数据分为稳定样本集和不稳定样本集,然后挖掘稳定样本的团簇结构,并将不稳定样本划分至该团簇结构中.最后,本文通过二维人造数据和图像分割场景可视化显示样本稳定性的合理性,并在基准数据集上验证本文所提聚类算法的有效性. "	PZKX202008006
公平性机器学习中基于分类间隔的歧视样本发现和消除算法	"石鑫盛1,2:45356996|李云1,2:23302494"	12	公平性学习; 分类间隔; 目标集; 加权距离度量; 歧视性;	"公平性学习是机器学习领域的研究热点,预防歧视的目的在于执行预测任务之前消除不公平训练集对于分类器的影响.为了保证分类公平性和准确性,本文通过发现和消除原始数据集中的歧视样本寻找生成公平数据集的方法,即提出了一种基于分类间隔的加权方法用于处理二分类任务中的歧视现象,并在demographic parity和equalized odds公平性判定准则上实现分类公平.为了不影响分类准确性,本文基于最大间隔原理将样本投影之后选出目标集,对于目标集中的每个样本,通过加权距离度量方法判定该样本是否具有歧视性,并进行修正.通过在3个真实数据集上与已有方法进行实验对比,本文的方法能够获得更好的分类公平性和准确性,并且不局限于特定的公平性判定准则和分类器. "	PZKX202008007
智能控制技术发展的思考	包为民1:25951639|祁振强2:45340900|张玉3:43542821	6	人工智能; 控制学科发展; 智能控制发展需求; 控制技术智能化;	"人工智能技术蓬勃发展,理论与技术上都有显著突破,在诸多领域得到了广泛应用;人工智能的相关理论与技术成果有可能在控制领域得到最大的集成,即智能控制将是人工智能及相关前沿技术的综合体现.本文从控制科学与技术的发展历程切入,分析得出智能控制将是人工智能与工业界融合发展的抓手,进而对智能控制的发展需求、控制技术的智能化途径和智能控制的发展阶段以及各阶段性特征展开讨论,最后阐述了推动智能控制技术发展的重点方向. "	PZKX202008008
冯登国院士		2	 	"<正>1经历简介冯登国, 1965年出生, 1995年于西安电子科技大学获通信与信息系统专业博士学位,博士学位论文获首届全国优秀博士学位论文,同年进入中国科学技术大学研究生院(北京)博士后流动站工作, 1997年入选中国科学院""百人计划"",2019年当选中国科学院院士. 2000至2012年担任信息安全国家重点实验室主任、国家计算机网络入侵防范中心主任.现为中国科学院软件研究所研究员、博士生导师,及密码科 "	PZKX202008009
B5G/6G中的毫米波和太赫兹通信技术专题简介	王东明1:06618127|武刚2:06571172|朱鹏程1:23665497	2	 	"<正>随着低频段频谱资源几近枯竭,毫米波和太赫兹高频段技术被认为是满足6G超高吞吐量的关键使能技术,因而受到学术界和工业界的广泛关注.毫米波和太赫兹通信通常采用定向传输,因而波束方向估计、混合预编码等是其关键技术.为共同探讨毫米波和太赫兹无线通信技术,展现当前研究人员在相关领域的最新研究进展, SCIENCE CHINA Information Sciences在2020年63卷第8期组织出版了""B5G/6G中的毫米波和太赫兹通信技术专题""(Special Focus on mmWave and Terahertz Wireless Communications for B5G/6G). "	PZKX202008010
量子信息专题简介	张卫平1:08553568|周正威2:09582694|苏晓龙3:08408993	2	 	"<正>量子信息是量子物理与传统信息科学交叉结合而衍生的一门新兴学科分支.它以快速飞行的光子作为信息传输的量子比特,用物质粒子的量子特性作为信息操控的量子比特,展现了独特而强大的信息处理功能,在提高运算速度、确保信息安全、增大信息容量和提高测量精度等方面预示了可突破传统经典信息系统极限的诱人前景.量子信息科学的研究不只限于量子计算与量子通信这些具体目标的实现上,事实上它为物理学、材料科学、精密测量物理等科学领域注入了新的生命力,同时对推动相关 "	PZKX202008011
征稿简则		1	 	"<正>简介:《中国科学:信息科学》(英文名称:SCIENTIA SINICA Informationis)是中国科学院和国家自然科学基金委员会共同主办、《中国科学》杂志社出版的学术刊物.本刊力求刊载信息科学领域最高学术水平的中文文章,及时报道计算机科学与技术、控制科学与控制工程、信息与通信工程、微电子与固体电子学等领域基础与应用研究方面的原创性成果,推动信息科学技术发展,搭建理论与技术应用的桥梁,促进与各学科、各行业的交叉融合.月刊,每月20日出版. "	PZKX202008012
中国科学:信息科学(月刊)		1	 	"<正>简介:力求刊载信息科学领域最高学术水平的中文文章,及时报道计算机科学与技术、控制科学与控制工程、通信与信息系统、微电子与固体电子学等领域基础与应用研究方面的原创性成果.推动信息科学技术发展,搭建理论与技术应用的桥梁,促进与各学科、各行业的交叉融合.月刊,每月20日出版.中、英文版是相对独立的两个刊物.栏目:评述、论文、观点与争鸣、快报、学术介绍等检索:被《中文核心期刊要目总览》、《中国科学引文数据库》、《中国期刊全文数据库》、《中国科技论文与引文数据库》、《中国数字化期刊群》、SCOPUS等收录. "	PZKX202008013
创新发展中的可信计算理论与技术	"冯登国1,2:15944981|刘敬彬2,3:45324667|秦宇2:17522890|冯伟2:29287463"	21	可信计算; 可信执行环境; 移动可信计算; 抗量子可信计算; 可信物联网; 可信云; 可信区块链;	"可信计算以硬件安全机制为基础,建立可信赖计算环境,从体系结构上全面增强系统和网络信任,是当前学术界和产业界的关注热点.随着信息技术的深入发展,新应用场景的不断涌现,网络空间的安全威胁日益严峻,因此可信计算在重要信息系统的安全防护领域将发挥越来越重要的作用.本文从创新发展角度,围绕作者20年来在可信计算领域的研究成果,综述了可信计算理论的发展历程,提炼总结出涵盖两大方法基础、三大信任核心和四大关键技术的可信计算技术体系,阐述了移动可信计算、抗量子可信计算、可信物联网、可信云、可信区块链等方面的重要研究问题以及可信计算在这些领域的融合创新成果.在移动可信计算方面,软硬件结合的可信执行环境体系架构设计和实现是研究重点,其次,移动操作系统内核运行时安全隔离防护,以及基于可信执行环境(trusted execution environment, TEE)的移动应用安全防护也是两个重要研究问题.在可信物联网方面,由于嵌入式环境本身的特性以及资源的受限,轻量级的信任根构建、高效安全的软件证明、实用的安全代码更新机制、集群设备证明是该领域有待进一步研究的重要问题.在抗量子可信计算、可信云、可信区块链等... "	PZKX202008001
科技大数据知识图谱构建方法及应用研究综述	"周园春1,2:09596132|王卫军1,2:45151645|乔子越1,2:41808430|肖濛1,2:45151648|杜一1,2:30875357"	31	科技大数据; 科技领域知识图谱; 科学学; 科技数据挖掘; 图神经网络;	"以研究科学创新与演化规律为目的的科学学近年来迎来了进一步的发展,科技大数据领域知识图谱在其中发挥了重大的作用.本文将从科技大数据知识图谱构建及应用研究角度,对科学学研究过程中发挥重大推动作用的科技领域知识图谱技术进行系统、深入的综述,阐述科技大数据知识图谱构建过程中涉及的科技实体抽取、科技实体消歧、科技关系抽取、科技关系推断等问题,对科技实体推荐、科技社区发现、科技实体评价、学科交叉以及学科演化等科技大数据知识图谱分析挖掘方法进行系统梳理,并给出科技大数据知识图谱未来的研究及应用方向. "	PZKX202007002
面向大数据领域的事理认知图谱构建与推断分析	王军平1:41646383|张文生1:11028945|王勇飞2:26988502|孙正雅1:30484524	15	工业大数据; 知识图谱; 事理认知; 人机行为演化分析;	"随着大数据对全球生产、流通、分配、消费等国计民生领域产生重要影响,事理作为认知智能重要概念,不仅帮助人们发现大数据所蕴含的国计民生的线索与发展规律,而且帮助人们更好认知人机物三元世界未来发展趋势.考虑到人机物事理动态演化是工业大数据有别于其他行业大数据处理的本质区别,本文从人机物事理动态演化特性智能认知着手,结合传统知识图谱在互联网领域取得的成功经验,提出了面向大数据领域的事理认知图谱构建与推断分析.首先论述了事理认知图谱对推动认知智能研究发展的贡献,剖析了它与知识图谱异同之处,深度理解人类社会发展变化规律的重要价值.其次阐述了事理抽取与泛化、多模态联合网络化合成表示、进化认知和推断分析等关键技术研究最新进展以及面临的挑战.最后,结合我们课题组在事理认知图谱的研究进展情况,归纳总结了事理认知图谱在预防网络电话诈骗和安全生产管控等领域最新应用效果.本文结尾总结和展望事理认知图谱的未来研究方向和发展前景. "	PZKX202007003
基于简介文本的中文人物关系图谱属性补全与纠错	杨一帆:45152821|马进:35630578|王海涛:45152822|何正球:30697459|陈文亮:33224970|张民:31758527	16	知识图谱; 人物关系图谱; 属性补全与纠错; 信息抽取;	"一个准确丰富的人物关系图谱不仅能够为大众提供人物实体的清晰介绍和人物之间的相互关联,而且能够为智能服务系统提供有效的知识支持.目前大多知识来源均以百科类表格数据为起点,在此基础上构建知识图谱.本文主要描述如何充分利用百科类文本数据构建高质量的人物关系图谱.为解决表格数据中存在属性缺失和错误的问题,我们采用模式匹配和深度学习模型相结合的策略从文本数据中自动学习属性值,进行属性补全和纠错,有效提高了知识图谱的覆盖率和正确率. "	PZKX202007004
顾及时空特征的地理知识图谱构建方法	"张雪英1,2:10993040|张春菊3:32113635|吴明光1,2:21866121|闾国年1,2:08754089"	14	地理实体; 时空特征; 地理知识表达模型; 地理知识形式化; 地理知识图谱;	"地理知识是人类对地理现象或事物空间分布、演变过程和相互作用规律的认知结果.当前大数据环境下的地理信息服务,普遍存在""数据海量、信息爆炸、知识难求""现象.地理知识图谱是一种利用语义网络对地理概念、实体及其相互关系进行形式化描述的知识系统,在地理知识理解、地学问题求解、时空预测决策等方面具有巨大的应用潜力.地理知识除了具有通用知识的内涵和特点之外,还具有特定的时空特征和地学机理特点.因此,地理知识图谱构建和应用既具有一定的通用性,同时具有一定的专业特殊性.本文结合地理知识的时空特征和知识图谱的表达形式,提出了一种顾及时空特征的地理知识图谱构建方法.首先,系统梳理了地理知识图谱构建的基本思路和技术流程,并简要阐述了地理知识获取、地理知识抽象与表达、地理知识组织与管理3个关键环节的主要研究内容及其进展.其次,从地理学回答的基本问题出发,对地理知识的内容特征进行概括和抽象,构建了涵盖""地理概念–地理实体–地理关系"" 3个层次的地理知识表达模型,用于描述不同粒度地理知识语义单元的基本组成及其逻辑关系.最后,借鉴知识图谱采用的语义网络知识表示方法,提出了基于""过程–关系""的地理知识表示方法.该方法以... "	PZKX202007005
基于篇章级事件表示的文本相关度计算方法	"刘铭1,2:22077849|郑子豪1:45152814|秦兵1,2:06990821|刘一仝3:45152817|李阳3:45152818"	22	篇章事件连通图; 篇章级事件相关度; 文本排序; 关键子句筛选; 子句连通图;	"随着网络信息的剧增,信息流服务备受用户关注.在信息流服务中,如何衡量文本之间的相关度进而从多来源的信息渠道中过滤掉冗余信息提升推荐满意度成为至关重要的环节.当前主流的文本相关度计算方法均是将文本表示为向量,进而通过衡量向量之间的相似度来度量文本间的相关度.然而,信息流中的文本多为新闻文本,这些文本的核心是其描述的事件,基于此需要从事件的角度挖掘文本的核心特征进而利用其计算文本间的相关度.当前针对事件的研究大多数着眼于句子级别.事实上,在计算文本相关度时,需要从篇章级别把握文章的内容.故此,篇章级的事件分析更有影响力.为此,本文在句子级事件抽取的基础上,提出了一种篇章级的事件表示方法,其利用句子级事件的抽取结果构建篇章事件连通图,并选取图中重要的节点作为篇章级事件的代表,之后利用篇章级的事件表示结果来度量文本之间的相关度.实验显示,本文提出的文本相关度计算方法要远好于传统的文本相关度计算方法. "	PZKX202007006
基于旅游知识图谱的可解释景点推荐	"高嘉良1,2:42777523|仇培元3:45133864|余丽4:37290019|黄宗财1,2:45133865|陆锋1,2,5:36712480"	14	旅游知识图谱; 景点推荐; 可解释性; 推荐系统; 旅游管理;	"景点推荐系统可以帮助游客过滤大量的无关信息,还能辅助商家发掘潜在的顾客.然而,现有的基于传统方法的推荐系统,如基于内容的推荐或协同过滤系统,虽推荐过程相对透明直观,但由于数据稀疏性的存在,推荐结果往往不够准确;基于深度学习的推荐方法,虽在一定程度上提高了推荐结果的精度,但由于缺乏可解释性和透明度,难以满足部分用户理解推荐依据的愿望,也阻碍了此类方法的推广应用.为了解决当前方法所存在的局限,本文引入基于知识图谱的景点推荐框架,将推荐过程与知识图谱嵌入相结合,推断用户兴趣在知识图谱上的传播路径,以此作为推荐依据.此外,本文通过对真实旅游数据的多角度时空分析,探究旅游活动的时空规律,并将其应用于景点推荐框架中,提出一种面向旅游的基于知识图谱的可解释推荐方法——Geo-RippleNet,并通过构建基于开放网络资源的旅游知识图谱,对Geo-RippleNet进行了全面的实验验证.结果表明,本文提出的基于知识图谱的景点推荐方法,不仅可以最大限度地吸收知识图谱丰富的语义信息,从而实现可观的性能提升,还能充分利用图谱的关系知识,推理兴趣传播路径,以增强推荐结果的可解释性.此外,将旅游活动的时空规律融... "	PZKX202007007
面向重大疫情应急防控的智能机器人系统研究	"张辉1,2:07435394|王耀南1,2:07421400|易俊飞2:45166794|钟杭2:29613129|刘理2:10838886|缪志强2:24968006|江一鸣2:45166795"	22	疫情应急防控; 疫情机器人; 环境感知; 自主导航; 运动规划; 5G通信技术;	"近年来, SARS病毒和MERS冠状病毒等全球传染性疫情频繁发生, 2019年12月至2020年5月7日,新冠肺炎(COVID-19)疫情已造成世界范围内210多个国家的370多万人感染,其中超过26万人死亡.此次疫情严重影响了人民生命安全、社会正常秩序和经济稳定发展,因而探索和实施面向重大传染病的新型防控方案迫在眉睫.随着机器人和人工智能技术的发展,复杂场景下的多类型应急防控智能机器人应运而生,并在疾病防控、排查诊断及治疗护理中扮演着至关重要的角色.本文以重大疫情防控过程中面临的物资供给不足、消毒任务繁重等问题为切入点,研究了医用物资搬运机器人、多场景消毒机器人、医护辅助机器人、排查防控机器人、复工复产机器人等系统方案和应用情况,并对环境感知、自主导航、运动规划、5G通信技术等多项疫情应急防控机器人关键技术的现状进行了对比分析.最后,对面向重大疫情应急防控智能机器人系统的前景提出了技术展望. "	PZKX202007008
