篇名	作者	页数	关键词	摘要	filename
PHP加密算法在图书馆信息查询系统中的应用研究	蒋继平:23710455	5	图书馆; 信息查询系统; PHP; 加密算法;	"分析了几种常用PHP加密算法,提出了基于MD5的随机抑或加密算法。该算法应用于图书馆信息查询系统,用以解决WEB登录程序的安全问题,为系统数据库配置文件的信息内容提供加密保护。 "	GXTS201502013
基于接触服务理论的高校图书馆学科服务策略研究	刘丽霞:09056717	4	服务接触; 高校图书馆; 学科服务; 策略;	"概述了服务接触理论,通过对高校图书馆学科服务活动中服务组织、服务个体以及服务平台三方面接触现象的分析,探讨了关于服务接触营销推广、品牌创新、失误补救三个方面的策略。 "	GXTS201502014
基于全媒体视阈下师范院校大学生信息素养教育模式研究	付鹏1:17318654|李艳2:27328561	7	全媒体; 师范院校; 信息素养; 教育模式;	"基于新媒体信息环境下,对师范院校信息素养教育培训的现状进行了分析与比较。阐述了梯级分类、循序递进、嵌入分层的信息素养教育新模式,提出信息素养教育平台保障体系的构建,并对未来信息素养教育模式的嬗变进行了探讨。 "	GXTS201502016
高校图书馆阅读推广服务的创新和思考	叶莉:07368786	5	高校图书馆; 阅读推广服务; 策略; 发展趋势;	"近些年来,在社会读书风气有所下滑的大背景下,当代大学生的阅读状况不容乐观。从高校图书馆阅读推广服务存在的困难入手,阐述了高校图书馆开展阅读推广服务的重要性,分析了高校图书馆开展阅读推广服务的障碍,提出了高校图书馆开展阅读推广服务的策略和方法,并对高校图书馆阅读推广服务发展趋势进行了展望。 "	GXTS201502017
《高校图书情报论坛》征稿启事		1	 	"<正>《高校图书情报论坛》(以下简称《论坛》)是由湖北省高等学校图书情报工作委员会和武汉理工大学图书馆联合主办,创刊于1982年。该刊是湖北省高校图书馆唯一的图书情报学术刊物,是湖北省高校图书馆员学习、了解湖北省高校图书情报工作动态、发展以及进行业务研究的必备刊物。该刊辟有馆长专家论坛、信息服务、管理论坛、探索与交流、资源建设、信息技术、博士论坛、研究生园地、图书馆介绍等栏目,其宗旨是紧密配合湖北省高校图书情报工作委员会工作,为湖北省高校图书 "	GXTS201502019
起点考研网		1	 	"<正>一、数据库简介《起点考研网》是由北京智联起点信息技术有限公司与北京理工大学出版社、人民大学出版社、跨考考研等国内知名出版社及培训机构合作打造出的视频库。《起点考研网》以考试大纲为基础,以知识点为核心, "	GXTS201501001
武汉理工大学图书馆工作委员会2014年年会召开	潘菊英:09060768	1	 	"<正>2015年1月22日上午8∶30,武汉理工大学图书馆工作委员会在图书馆报告厅召开了2014年年会,会议由武汉理工大学图书馆工作委员会主任、武汉理工大学副校长康灿华教授主持,武汉理工大学图书馆工作委员会全体委员、武汉理工大学工作作风建设督察员、图书馆领导及直属部门负责人60多人参加了会议。 "	GXTS201501018
基于SECI的嵌入式教学服务体系研究	张蓉晖:27676087	4	SECI; 嵌入式教学; 需求要素; 服务模式; 服务体系;	"将SECI模型原理与方法融入嵌入式教学需求分析中,通过识别高校图书馆嵌入式教学流程中各维度关键需求要素,构建基于SECI的嵌入式教学服务体系。 "	GXTS201501003
虚拟社区环境下高校图书馆的服务模式探讨	黄文碧1:22027193|龚主杰2:15608952	3	虚拟社区; 高校图书馆; 服务;	"虚拟社区为高校图书馆服务提供新的思考,结合两者的特征进行共性分析、必要性分析,并从学科服务、文献信息资源建设、自身虚拟社区构建三个方面探讨高校图书馆在虚拟社区中的服务拓展。 "	GXTS201501004
全民阅读背景下的高校阅读指标体系研究与应用初探——以湖北大学为例	孙晶:27142901	6	全民阅读; 指标体系; 高校;	"全民阅读的推动与发展需要一套指标体系来指导。在此背景下,提出高校阅读指标体系设计思路,构建指标体系框架,以湖北大学为实例进行分析并给出结论。 "	GXTS201501005
基于Bernardo线性分配法的图书招标决策模型研究	刘海梅:25173536|魏想明:07368121	6	图书招标; 评标方法; 德尔菲法; 层次分析法; Bernardo线性分配法;	"采用Delphi法确立图书采购招标的评价指标,利用AHP法对各个指标进行权重设置,建立一套客观科学的图书采购招标书商评价体系。最后通过在图书采购招标中的案例研究,验证Bernardo线性分配法决策模型的可操作性。 "	GXTS201501006
政务微博施政话语链重组策略研究	周均:28213696	4	政务微博; 施政话语链; 断裂成因; 重组策略;	"社会转型阶段,突发事件、热点问题和敏感舆情无一不是对政府执政能力的重大考验。在这种情势下实现施政能力""更新换代"",关键在于做好群众工作,建立一条合理畅通的对话渠道。以政务微博为研究对象,从运营成绩出发,着重阐释政民互动所呈现出的矛盾和问题,并对其话语链断裂成因进行分析,有针对性地提出重组话语链的相关策略,以期为提升""网络问政""水平提供参考。 "	GXTS201501007
图书馆领导者在组织文化建设中的作用	余慈爱:25996117	3	组织文化; 领导者; 图书馆;	"首先从新时代的环境下,对于组织文化含义的重要性展开分析,介绍了国外组织文化的发生和发展,具体分析图书馆组织文化的含义和功能,并且对图书馆领导者在组织文化建设中的作用进行了分析和阐述。 "	GXTS201501008
图书馆人力资源管理研究	万桂珍:10688782	3	图书馆; 人力资源ABC管理; 管理员;	"从图书馆内部人力资源开发的角度出发,提出了人力资源ABC管理法,并给出了研究对象及分类标准,同时,指出了管理中应注意的问题。 "	GXTS201501009
营造和谐的高校图书馆流通阅览环境	周培1:24467694|毛薇2:33145329|曹磊1:29404837	3	和谐; 高等院校图书馆; 流通阅览;	"以构建和谐社会为指导,论述了高校图书馆流通阅览部门在构建和谐社会中的作用,分析了当前制约高校图书馆构建和谐流通阅览服务环境的主要因素,指出了高校图书馆构建和谐流通阅览服务的途径。 "	GXTS201501010
市级公共图书馆地方文献工作实践方法论——以沈阳市图书馆为例	李雪垠1:13269674|宋晓丹2:06531608	4	图书馆; 地方文献; 工作; 实践;	"对市级公共图书馆地方文献工作开展过程中,构建特色馆藏体系,开展特色服务,从而扩大地方文献工作的公众认知度等实践方法加以总结和梳理,并对其它兄弟馆的成功案例加以论述,希望能够对提升地方文献建设工作水平和促进公共图书馆发展起到一定的推动作用。 "	GXTS201501012
专升本高校图书馆应对本科教学评估带来的挑战与对策	唐玲:22889984	4	高校图书馆; 本科评估; 文献资源建设;	"对现阶段普通高校图书馆文献资源建设和利用现状进行分析,重点阐述了本科评估给高校图书馆带来的挑战,并提出了图书馆应对策略,如建立合理的馆藏体系,满足读者对文献信息的需求,提升图书馆服务功能,提高读者对图书馆文献资源的高效利用等。 "	GXTS201501013
大数据时代欠发达地区图书馆的困惑与出路	黎清1:29928555|苏杰1:25212511|胡国杰1:25212469	6	大数据; 欠发达地区; 图书馆; 影响; 出路;	"作为知识存储和传播的重要场所,大数据对图书馆的影响至为深刻。在以资源为核心竞争力的时代,欠发达地区图书馆已然处于劣势地位,大数据又带来了新一轮的冲击和挑战。大数据时代,欠发达地区图书馆是走向末路,还是探寻出路,这是一次重要抉择。阐释了大数据给图书馆带来的影响,分析了欠发达地区图书馆面临的困惑,提出宜顺应潮流,把握机遇,突破常规,更好地运用大数据实现管理与服务水平的提升,让欠发达地区图书馆跟上时代步伐,实现跨越发展。 "	GXTS201501014
基于民族文化保护与传承的特色文献馆藏建设——以广西北部湾经济区为例	龚军慧:28295644|谢桂兰:17382142|来云:10943842|彭春艳:29556291	5	民族文化; 保护与传承; 特色文献; 馆藏建设; 北部湾经济区;	"北部湾经济区民族文化是各民族在漫长的历史进程中融合发展起来的以""海洋性""为特征的民族文化模式。挖掘整理北部湾经济区民族文化资源,构建特色文献馆藏,对于促进广西北部湾经济区发展具有十分重要的现实意义。北部湾经济区民族文化资源特色文献馆藏建设,可通过收藏图片与民族歌舞音像,收集艺术类实物与文史资料成果,以及文献资源数字化等策略加以实现。 "	GXTS201501015
基于嵌入与反向嵌入的服务体系建设——湖南大学图书馆服务体系案例分析	肖蔚:07427730|陈有志:07413545	4	嵌入服务; 反向嵌入服务; 一站式服务;	"阐述了湖南大学图书馆构建""嵌入与反向嵌入""服务体系建设的理念与方法。介绍了嵌入式网络服务、嵌入式学科服务、嵌入式移动学习、嵌入式微服务,以及反向嵌入业务管理、资源采购、绩效考核、读者服务、馆读互动等服务。 "	GXTS201501016
中科UMajor大学专业课学习资源数据库		1	 	"<正>""中科UMajor大学专业课学习资源数据库""(简称UMajor数据库)是国内第一款、也是目前唯一专业性的、已形成完备学科体系的、以大学阶段各学科门类的专业课程学习资源为收录对象的数据库。数据库现已收录哲学、经济学、法学、教育学、文学、历史学、理学、工学、农学、医学、管 "	GXTS201501019
“大数据环境下高校图书馆的服务与创新”学术研讨会征文通知		1	 	"<正>湖北省各高校图书馆:湖北省高等学校图书情报工作委员会和武汉理工大学图书馆拟于2015年6月下旬联合召开全省高校图书馆学术研讨会,本次会议将围绕""大数据时代高校图书馆的服务与创新""这一主题,广泛深入地探讨图书馆的服 "	GXTS201501020
武汉理工大学图书馆基础服务介绍——新生入馆教育指南(简略版)		2	 	"<正>一、图书馆概况武汉理工大学图书馆由西院分馆、东院分馆、余家头分馆、南湖分馆四个综合分馆、一个阅览分馆—航海分馆、24个学院(部、所)资料室构成。图书馆现有馆舍面积3.86万平方米,阅览座位为3300余个。南湖校区新图书馆正在建设之中,规划面积4.5万平方米,设阅览座位4000余个。图书馆已建立起印本文献、电子资源和网络文献""三位一体""的文献资源保障格局。图书馆现有印本文献390万余册、电子图书457万余册、各类中外文数据库(子库)200余个,数据库包含中外文全文电子期刊近4万余种。 "	GXTS201403001
2014年湖北省高校图工委管理工作专业委员会工作会议暨湖北省信息学会高校分会年会在华中师范大学图书馆召开	徐晨琛:10623391	1	 	"<正>6月23日,2014年湖北省高校图工委管理工作专业委员会工作会议暨湖北省信息学会高校分会年会在华中师范大学图书馆召开,华中师范大学副校长彭南生教授,湖北省教育厅高教处副处长张锦枫,湖北省高校图工委副主任兼秘书长、中国图书馆学会常务理事、武汉大学图书馆馆长王新才教授,湖北省信息学会秘书长、湖北省科技信息研究院汪少敏教授出席开幕式并致辞,武汉大学、华中科技大学、华中师范大 "	GXTS201403007
浅析高校图书馆数字资源绩效评价中的理论模型构建	余昭芬:07374232	5	高校图书馆; 数字资源; 绩效评价; 理论模型;	"以绩效评价的GAP差距理论模型、SERVQUAL理论模型及LibQUAL+TM理论模型为基础,阐述了这些理论模型在高校图书馆数字资源绩效评价中应用的注意事项,首次引入了绩效值(performance value,PV)概念与公式计算。并通过综合国内外专家学者的成果,提出了适合于我国高校体制特点的数字资源绩效评价应兼顾的问题。 "	GXTS201403003
基于关联数据的高校知识管理体系构建研究	董坤:10066853	4	关联数据; 知识管理; 数据挖掘;	"基于关联数据理论与现代信息环境下高校知识资源分布特征,提出构建基于关联数据的高校知识管理体系。通过关联数据实现对高校知识内涵与关联关系的语义化揭示,实现对高校显性与隐性知识的系统化、语义化管理。 "	GXTS201403004
湖北省独立学院图书馆电子资源现状分析及发展策略	杨毅:07632051	4	独立学院; 图书馆; 电子资源;	"湖北省有26所独立学院,数量与实力都位居全国前列,通过对湖北省独立学院图书馆电子资源整体情况的调研,了解独立学院图书馆电子资源建设现状。指出独立学院图书馆进行电子资源建设时,要考虑用户需求、人才培养的定位、专业特色等,同时,还要参与高校图书馆联合组织,实现资源共享。 "	GXTS201403005
Excel在图书采访查重中的应用	徐吉平:21511498	3	Excel; 图书采访; 图书查重;	"通过对电子表格excel数据查重的调查和分析,解决了图书采访中的图书查重问题。 "	GXTS201403008
基于大学生综合素质提升的图书馆展览策划及实践研究——以河北联合大学图书馆为例	吴卫华:27284692|王艳红:27284691|李杏丽:27446266|毕长泉:27314201|王黔平:27271397	4	图书馆; 展览; 素质;	"为了更好地发挥图书馆展览服务在大学生素质教育中的作用,河北联合大学图书馆从2010年开始举办了不文明现象展、传统文化展、阅读推广展、就业知识展等一系列展览活动,经过几年实践,在提高大学生综合素质方面取得了良好的教育效果。 "	GXTS201403009
高校图书馆“三育人”工作探析	李爱华:16176344	3	高校图书馆; 三育人; 工作;	"""三育人""工作是高校工作的重中之重,作为高校第二课堂的图书馆,在育人工作中具有诸多优势,如丰富的馆藏资源、专业的人才队伍、先进的技术设备、充足的开放时间。探讨了高校图书馆如何做好馆藏资源的教书育人、规章制度的管理育人、读者工作的服务育人的工作。 "	GXTS201403010
东北地区高校图书馆学科馆员服务的网络调查与分析	郑杨:21864213|马家伟:08692620	4	学科馆员; 学科服务; 高校图书馆; 东北地区;	"以东北地区的115所本科院校为调查对象,调查及分析了该区域高校图书馆利用网络平台实施学科馆员服务的现状,并对更好地开展学科馆员服务进行了思考。 "	GXTS201403012
2003—2013年我国图书馆阅读指导文献计量分析	谭颖群:21482018	5	阅读指导; 文献计量; 统计分析;	"使用文献计量的方法对我国2003—2013年关于图书馆阅读指导的论文进行年代、期刊、基金、引文、主题、作者等分布统计分析,以便了解我国图书馆阅读指导的现状、研究重点,为今后的研究和实践提供参考。 "	GXTS201403013
对高职院校图书馆期刊的调查与分析	陈东灵:10903463	3	纸质期刊; 电子期刊; 综合性期刊; 专业期刊; 利用率;	"对期刊的利用情况进行及时的调查分析是了解和检验图书馆藏刊质量的一种有效途径。为建立一个有重点、有协调、利用率较高的藏刊体系,更好地服务于学校的教学与科研工作,笔者对我校图书馆期刊的阅读情况进行了实际调查,在此基础上对期刊的利用情况作了分析研究,为今后进一步合理采购和有效利用期刊提供依据。 "	GXTS201403014
基于Web of Science的数字图书馆研究的计量学分析	梁海洋:17338099	5	数字图书馆; 知识图谱; 主题特征; 计量分析; Web of Science;	"以Web of Science为数据来源,采用文献计量学方法,结合信息可视化技术,对2004~2013年收录的数字图书馆研究的文献增长规律、作者、机构、分布和期刊进行了分析。并采用关键词共现分析方法,对主题特征进行了分析。 "	GXTS201403015
大学图书馆系统——专业分馆发挥特色馆藏作用探讨	彭野丽1:27181137|汪永福2:09016624|杨汉妮2:09017444	4	专业分馆; 特色馆藏; 大学图书馆;	"专业分馆是大学图书馆系统建设的特色之一,专业分馆提供与学院各个专业关系最为紧密,紧跟学科前沿的书籍和期刊,为各专业的全体教师、研究生和广大本科生提供贴心、周到、便捷的服务。首先阐述了武汉理工大学图书馆的发展概况,其次,分析了大学图书馆实行专业分馆制度的必要性和重要性,以及大学图书馆系统中专业分馆的特点,同时,就专业分馆如何发挥其专业特色进行了较为深入的探讨。 "	GXTS201403016
试论高校图书馆与大学生职业素养教育	魏有庆:31578573	3	高校图书馆; 职业素养; 大学生;	"分析了大学生职业素养的内涵,阐述了高校图书馆的资源优势,探究了推进大学生素养教育的方法和途径,旨在为提升大学生的职业素养提供有效帮助。 "	GXTS201403017
浅论体育院校图书馆文化建设	沈江涛:14275773	3	体育院校; 图书馆; 文化建设;	"对图书馆的文化内涵进行了分析,针对体育院校的教学特点、办学理念和读者文化建设开展了调查研究,报告了体育院校图书馆文化建设方面的实际现状,提出了完善文化建设的有效方法。 "	GXTS201403018
基于图书馆资源服务重组的信息共享空间构建	乔长安:13355216|罗娅:21852879|胡涛:15085689|李声:23984815	4	信息共享空间; 资源整合; 服务重组;	"信息共享空间是一种有效的整合服务模式,它将图书馆纸质文献、电子资源、信息技术与服务功能有机整合在一个特定环境中,为用户提供完整无缝的使用体验。为构建信息共享空间,图书馆应详细分析已有资源、信息技术和服务模式,对比信息共享空间的目标和要求,提出新的岗位职责和技能要求,促使图书馆从""以业务流程为中心""转变为""以读者感受为中心"",开展基于用户体验的一站式服务,最终顺利完成资源服务重组。 "	GXTS201403019
《高校图书情报论坛》征稿启事		1	 	"<正>《高校图书情报论坛》是由湖北省高校图书情报工作委员会和武汉理工大学图书馆合办的图书情报刊物。《高校图书情报论坛》主要是根据我省图书情报工作的发展需要而创办的。《高校图书情报论坛》紧跟信息时代图书情报事业发展的步伐,为高校图书情报工作者提供一块学术研究、交流的园地。本刊设有《图书情报理论研究》、《参考咨询与用户教育》、《图书馆建设与管理》、《文献信息资源建设》、《馆长专家论坛》、《读者服 "	GXTS201403020
武汉理工大学图书馆基础服务介绍——新生入馆教育指南(简略版)		2	 	"<正>一、图书馆概况武汉理工大学图书馆由西院分馆、东院分馆、余家头分馆、南湖分馆四个综合分馆、一个阅览分馆—航海分馆、24个学院(部、所)资料室构成。图书馆现有馆舍面积3.86万平方米,阅览座位为3300余个。南湖校区新图书馆正在建设之中,规划面积4.5万平方米,设阅览座位4000余个。图书馆已建立起印本文献、电子资源和网络文献""三位一体""的文献资源保障格局。图书馆现有印本文献390万余册、电子图书457万余册、各类中外文数据库(子库)200余个,数据库包含中外文全文电子期刊近4万余种。 "	GXTS201403001
基于SCIE引文的高校馆藏环境学科外文期刊建设研究	程惠兰:10318364|胡小华:10318696	5	外文期刊建设; 馆藏; 高校; SCIE; 引文;	"以2008-2012年中国地质大学(武汉)环境学科用户发表SCIE论文的引文为研究样本,分析统计引文的年代分布、文献种类、引用频次和文献来源数据库,研究环境学科用户利用外文期刊和馆藏保障的情况,提出今后环境学科外文期刊的建设任务。 "	GXTS201402004
社会编目网站LibraryThing及其对图书馆的影响研究	陈姗:31522025	6	社会编目; 书目数据; LibraryThing; Web2.0; 图书馆;	"通过对社会编目网站LibraryThing进行深入分析和研究,揭示其核心功能、关键技术及网站的优势和局限性。并将LibraryThing与图书馆进行融合研究,介绍该网站向图书馆提供的服务等方面内容,提出将社会编目网站的技术和理念应用于图书馆的建议。 "	GXTS201402005
国内外共词分析法的研究现状	王红:25718753	5	共词; 共词分析; 研究现状; 关键词; 主题词;	"先从纵向方面详细梳理国外共词分析法的最新研究现状,再从横向方面以图表的形式展现国内共词分析法的主要研究领域,最后对国内外共词分析法的研究现状进行总结分析,以期提供一个研究该方法发展全景的新视角,对今后的科研人员有所帮助。 "	GXTS201402007
起点考试网		2	 	"<正>近年来,由于多媒体技术和网络技术在教学过程中的大量广泛应用,打破了传统教学模式的束缚,为学习者的参与提供了有利条件,为学习者提供了丰富的、生动的学习资源,为学习者提供了许多发现知识、探究知识和表达观点的有利工具、网络视频教学组建走进教育教学的各个领域。个别化自主学习是一种以学生为中心的教学结构模式,是学生自主利用多媒体手段进行个性化学习的重要方式。起点考试网就是这一新型教学模式的典型代表。 "	GXTS201402001
湖北省职教院校图书馆协作委员会“2014年度工作会议暨业务培训班”圆满举行	刘丽霞:09056717	1	 	"<正>5月22-23号,""湖北省职教院校图书馆协作委员会2013-2014年度工作会议暨业务培训班""在武汉铁路职业技术学院图文信息中心举行。全省40余所职教院校图书馆馆长及业务骨干共计100余人参加了会议。22日上午9时,开幕式由省职教院校图协理事长、武汉职业技术学院胡学知副校长主持,武汉铁路职业技术学院周慎副校长以及省高校图工委副主任、秘书长、武汉大学图书馆馆长王新才教授 "	GXTS201402003
2013年《论坛》刊载文章获奖篇目		1	 	 	GXTS201402006
2014《高校图书情报论坛》编委会年会在三峡大学图书馆召开	潘菊英:09060768	1	 	"<正>2014年4月9日,《高校图书情报论坛》(以下简称《论坛》)编委会年会在三峡大学图书馆召开。《论坛》编委及代表30多人参加了会议。会议由湖北省高校图工委秘书长、武汉大学图书馆馆长王新才教授主持。三峡大学图书馆馆长田启华教授致欢迎辞。湖北省教育厅高教处调研员张锦枫出席了会议并讲话,我校图书馆馆长、《论坛》主编刘清教授,图书馆副馆长、《论坛》副主编付先华研究馆员和咨 "	GXTS201402011
高校图书馆嵌入式馆员服务研究综述	雷俊琼:23185890	6	高校图书馆; 嵌入式馆员; 嵌入式服务;	"用定量与定性相结合的研究方法,对嵌入式馆员服务的相关研究论文进行统计分析,重点将研究内容从嵌入式馆员服务的定位、特点、模式、挑战和对策几方面进行归类综述,试图总结该领域现状研究的同时指出研究不足之处,为今后研究提供参考。 "	GXTS201402009
知识产权战略下高校图书馆专利信息服务的探究	刘楠:31522028	5	知识产权; 高校图书馆; 专利信息服务;	"国家将知识产权上升到战略的角度来实施,但是高校对知识产权尤其是专利权的认识并不深刻,高校图书馆也未全方位深入开展专利信息服务。调查了我国高校图书馆专利信息服务的现状、剖析了专利信息服务存在的问题,进而探讨可开展的专利服务内容,提出提高专利服务水平的对策,同时对专利信息服务的未来进行了展望。 "	GXTS201402010
高校图书馆书库外包学生管理实践与探索——东华大学图书馆成功案例介绍	尹雪:26807509|施敏俊:31522029|刘银珍:10632552|虞洪:31522030	4	图书馆; 业务外包; 勤工助学; 自主管理;	"图书馆业务外包是图书馆不断完善管理体制,提高工作效益的有效方式。探索了一种新的图书馆业务外包方法,即东华大学图书馆将部分书库业务外包给学生团队,实现与学校勤工助学相结合的业务外包模式,探讨了这一外包模式的运行办法、运行成效、存在的问题以及完善的方式等。 "	GXTS201402012
独立学院图书馆图书内阅统计与分析——以华中科技大学武昌分校图书馆为例	杜少霞:27369467|杨蕴坚:10729719	3	内阅图书; 利用率; 统计分析; 独立学院图书馆;	"图书利用率是衡量藏书建设质量和读者服务水平的一个重要指标。华中科技大学武昌分校图书馆对内阅图书上架前进行扫描,从而科学、准确地实现了内阅量的统计,为馆藏资源的配置、布局以及流通阅览服务工作的完善提供了可靠依据。 "	GXTS201402013
浅谈高校图书馆服务创新	王晓霞:17351735	4	高校图书馆; 图书馆服务; 服务创新;	"创新是当今社会的主旋律。在信息化、网络化、数字化的时代背景下,高校图书馆服务创新显得日益紧迫。结合新形势下的高校图书馆实际,分析了高校图书馆服务创新的必要性,以及高校图书馆服务创新面临的主要问题。提出了高校图书馆开展服务创新的新思路,目的在于更好地促进高校图书馆服务创新工作的开展,为广大师生提供更加优质的图书馆服务。 "	GXTS201402014
西文编目中题名字段的著录方法	余伟:31522576	5	信息源; 题名; 责任说明;	"题名字段作为西文编目中最重要的部分,在不同的情况下有不同的著录要求,如何正确处理题名字段是西文编目的一个重点和难点。探讨了西文编目中题名字段的著录方法。 "	GXTS201402015
CADAL二期服务体系建设对高校图书馆的数字资源服务的影响	陈海燕:07639982	3	CADAL; 服务体系; 数字资源服务;	"叙述和分析了CADAL二期服务体系建设发展情况,阐述了CADAL二期的服务体系建设对高校图书馆数字资源服务产生的几个方面的影响,提出了服务评价体系对高校数字图书馆数字资源服务的重要作用。 "	GXTS201402016
基于RBV的高校图书馆资源能力体系构建	谭永钦:07625066	3	资源基础理论; 高校图书馆; 资源能力体系; 构建;	"资源基础理论(RBV)广泛用于分析企业竞争力及其绩效评估。利用RBV思想,构建高校图书馆资源能力体系,利用高校图书馆基于资源条件能为读者提供服务的多少及层次进行图书馆效率评估,将是一种科学的评估方法。 "	GXTS201402017
高校图书馆阅读推广活动的创新研究	叶莉:07368786	5	高校图书馆; 阅读推广活动; 方法;	"分析了开展全民阅读的重要性,并分析了目前高校图书馆开展阅读推广活动存在的困难和不足,探讨了实施阅读推广活动的方法、举措及今后的发展趋势。 "	GXTS201402018
