篇名,作者,页数,关键词,摘要,filename
高校图书馆个性化知识服务平台框架的构建,王吉:36743763,6,高校图书馆; 个性化; 知识服务; 平台框架;,"在如今知识爆炸的时代,高校图书馆为教师提供知识服务,帮助教师更好的进行教学研究工作,是图书馆工作的重点。本文在界定知识服务的内涵及分析高校教师教研工作的信息需求、信息服务需求的基础上,构建一个为教师教学研究工作提供知识服务的平台框架。并对平台建设和具体模块的相关问题进行了说明。 ",TSLT201605015
移动图书馆APP服务探讨,王志彦:30526335|李祎:36743762,4,移动图书馆; APP服务; 服务模式;,"APP服务在图书馆中广泛使用,拓宽了读者服务的渠道,为读者提供了方便快捷的信息服务。本文阐述了APP概述、国内外图书馆关于APP的发展,剖析图书馆APP服务目前存在的问题以及APP建设的建议。 ",TSLT201605016
关于书和人的那些事儿(续)——有话要说的行走(一),,5, ,"<正>一关于行走我有话要说,不吐不快。这是一篇我急着一定要写出来的文章,一篇还会有后续不会完结的文章。从小到大我一直在行走,在路上,起初跟着父母一起出差,被背在背篓里,被抱在怀里,到后来相约朋友一起行走,乃至现在的一人独自一人走在路上,看祖国大好河山,看星辰交相辉映。我真实的做到了人生马不停蹄,自己的脚也不曾停下。或许并没有余秋雨老师那种写出万里无疆的气魄,也没有熊召政老师行万里路之后 ",TSLT201605017
2016年中国图书馆年会在安徽铜陵举行,,1, ,"<正>10月25日—28日,2016年中国图书馆年会在安徽铜陵举行。本届年会由文化部指导,中国图书馆学会与安徽省铜陵市人民政府共同主办,国家图书馆(国家古籍保护中心)、文化部全国公共文化发展中心、中国古籍保护协会和安徽省文化厅协办。文化部党组成员、部长助理兼办公厅主任于群,安徽省副省长谢广祥,国家图书馆名誉馆长周和平,国际图联主席多纳·希德以及来 ",TSLT201605001
征稿启事,,1, ,"<正>《图书情报论坛》于1989年创刊,由湖北省图书馆学会、湖北省图书馆主办,湖北省文化厅主管。创刊20余年来,《图书情报论坛》坚持""适应学科发展潮流、关注公众知识状况"",体现""以理论为先导、以理论指导实践""的宗旨;倡导""以人为本""、""理论联系实际""的办刊理念;2011年《图书情报论坛》由季刊改为双月刊,改刊后信息量更加丰富,用稿量进一步增大,进一步扩大了《图书情报论坛》的影响。 ",TSLT201605018
湖北省高校文献保障系统建设概述,燕今伟1:34985652|刘霞2:09017796,7, ,"<正>1998年底,教育部正式启动中国高等教育文献保障体系(CALIS)建设项目。经过十五年的建设和发展,已逐步形成了全国-省级-成员馆的三级服务体系,全面提升了我国高校图书馆的发展水平。在CALIS的带动下,湖北省高校图书馆之间的合作和共享日益加强,省级文献保障体系——湖北省高等学校 ",TSLT201605002
以信息化立场来审视现代化图书馆建筑空间规划,孔玲:35217843|邱晓辉:10560637,6,公共图书馆; 读者活动空间; 馆藏资源布局; 生存策略;,"具体论述了:图书馆建筑空间的合理性与便捷性、图书馆建筑空间规划所涉及到的诸多方面、图书馆建筑空间的适应性与调节作用、图书馆建筑空间的传统替代作用、图书馆建筑空间的战略架构、图书馆建筑空间的目标之——建立""第三种阅览服务""项目。 ",TSLT201604003
论高校图书馆部分业务与书商合作的利与弊,王迎莹:33275528,4,高校图书馆; 书商; 采访; 编目;,"近几年书商在高校图书馆中发挥着越来越重要的作用,但同时也存在许多问题,本文首先介绍高校图书馆业务与书商合作的现状,让我们了解到书商与图书馆的合作越来越密切,图书馆的业务越来越多地依赖书商,然后分析这种现状的利与弊,最后重点讲述对应措施,给未来高校图书馆与书商合作指明方向。 ",TSLT201604004
现代社会媒体的变革过程与图书馆未来发展方向,邱峰:17372092,4,信息媒体; 资源共享; 学科服务; 用户研究网络;,具体论述了:图书馆的未来发展与读者用户的诉求密切相关、图书馆未来发展依赖于先进的设施与设备、图书馆未来发展与新媒体经营者的影响作用、图书馆未来发展的交互方式、图书馆未来发展的趋势分析、图书馆未来发展在于高起点上重启人类文明的萌发与界定、图书馆未来发展与全媒体时代的环境、图书馆员是其未来发展的掌舵人。 ,TSLT201604005
从查新角度看高校图书馆开展阅读疗法的研究现状与发展,康芳芳:14211160,5,高校图书馆; 阅读疗法; 发展;,"近年来,阅读疗法在图书馆界的研究越来越热,该疗法以协助读者改善情绪困扰或促进其自我成长为目的。与传统自发性纸本阅读不同,阅读疗法通过图书馆员推荐特色阅读书目,帮助读者在自主阅读中实现自我情绪调节,缓解其不良情绪,释放精神压力,从而达到身心平衡的良好状态。本文拟从查新角度研究这一服务概念在高校图书馆的研究现状,并在苏州大学图书馆开展的阅读疗法实践基础上,讨论该服务在高校图书馆的未来发展趋势。 ",TSLT201604006
书库环境对古籍保存影响的动态数据监测初探——以湖北省图书馆为例,盛兰:27599549|王莹:36257177|田雪兆:36257178,5,古籍书库; 书库环境; 温湿度; 酸碱度;,"分析地理环境与自然条件下古籍书库的温、湿度对古籍文献的影响;然后,以湖北省图书馆为例,介绍为保存古籍文献的老馆与新馆书库环境,并实地测量新老图书馆古籍书库的温、湿度;最后给出新馆古籍书库动态数据监测系统的建设方案。 ",TSLT201604007
数字化背景下的市县级公共图书馆古籍保护工作研究——以襄阳市图书馆为例,陶鑫:43766921|徐崴:43766977,7,古籍数字化; 市县级公共图书馆;,"剖析数字化对市县级公共图书馆古籍保护工作的重要意义,考察我国大陆地区古籍数字化的现状,在此基础上结合实际工作情况,论述当前市县级公共图书馆古籍数字化工作的任务及发展方向。 ",TSLT201604008
创新模式提升水平 营造智慧型图书馆——以湖北省图书馆中文报刊部为例,杨彦:35624819|何菁:25834725,4,服务模式; 智慧化服务;,"为适应时代的要求,在构建智慧图书馆的进程中,公共图书馆必须以读者为中心,创新服务模式,提升服务水平,以更好地满足读者日益增长与不断变化的需求。本文以湖北省图书馆中文报刊部为例,探讨""需求—服务""模式的建立和运作,及其发展方向。 ",TSLT201604009
图书馆与企业的合作可推进数字资源流通服务,,4,公共图书馆; 企业合作; 自助全开放量; 数据库实证分析; 条形码; 数字资源流通服务;,"具体论述了:为企业的服务项目要由信息化主旨定义要求规范、对企业开展的数字资源流通服务要注重实效、企业开发利用数字资源的广阔前景,认为数字资源流通服务在企业经营中大有可为。 ",TSLT201604010
自适应控制下高校图书馆座位预约的自觉——以广西大学图书馆为例,刘开琼:28195957,5,高校图书馆; 座位预约; 自适应控制; 自觉;,"本文关注高校图书馆座位预约问题,以本馆座位预约情况为参照,提出四个自适应控制的有效措施:反思图书馆预约座位存在的问题;图书馆自觉改善预约系统条件;抓好读者源头的教育培训工作;构建提升读者行为自觉的激励机制:以爱为感召力、关注读者内心需求,调动多方力量辅助控制读者不自觉行为,树立榜样的示范作用,以""亲情化""促责任感等。以此让自我任性的90后读者自觉适应图书馆座位预约的要求,从而提升图书馆的服务工作。 ",TSLT201604012
让“三步走”助推乡村图书馆(室)建设落地生根,胡顺江:35216205,2, ,"<正>所谓""三步走""即指:福利院(全球老龄化成为常态)、失学儿童(偏僻乡村失学和留守儿童极为普遍)、农民工(弃农经商,弃农务工是当今社会现状)此三种群体也折射了现实社会的三种生活状态,尤为突出的是知识缺失、精神空虚、文化饥饿。此三种群体也反映出了需求对象的存在。此三种群体更加明确了精准扶贫和文化扶贫的服务方向。基于以上三点,我们的公共文化服务确实应该找准目标,确立方向,从小事做起,立足生活,深入基层,弥补短板,攻克盲点,有效地把知识和文化传递到民间,直指人心。而不是一味地追求""高大尚"",更不是把目光 ",TSLT201604013
借力长江读书节提升公共图书馆儿童阅读推广,陈思如:29051613,4,长江读书节; 公共图书馆; 儿童阅读推广;,"以长江读书节为契入点,探讨公共图书馆的儿童阅读推广,公共图书馆要利用品牌资源、整合资源深入开展儿童阅读推广,要加大儿童图书馆的基本建设,加强各级公共图书馆的合作,以及各学校、幼儿园的合作,保证活动的深入持久。 ",TSLT201604014
阅读推广网格化 数字服务进社区——浅析宜昌市图书馆数字阅读服务推广模式,冯海涛:36257182,3,社区网格管理; 数字阅读推广;,"数字阅读为宜昌市图书馆延伸服务、阅读推广提供了极大的便利,也使社区居民足不出户就能充分享受到公共文化服务和资源,使数字阅读成为广大市民的生活新常态,文化服务的触角延伸到全市各个角落和生活场景。我馆结合社区网格管理丰硕成果推广全民阅读,发挥""格格""们的亲民优势,调动他们参与数字文化阅读推广的积极性,成为社区居民与图书馆间的纽带。 ",TSLT201604015
冯天瑜访谈录,冯天瑜:09003412,4, ,"<正>徐恕(1890—1959)字行可,号彊誃。湖北武昌人,藏书家、目录版本学家。早年曾留学日本。喜藏书,收藏明清至近代的善本、稿本、抄本、校本近10万册。解放后,将其所藏图书全部捐献国家,终藏于湖北省图书馆。""不为一家之蓄,俟诸三代之英"",一代藏书大家徐行可的爱国义举辉映全国。2016年5月10日,徐行可纪念图书馆在湖北省图书馆正式建成开放,此为湖北古籍保护工作 ",TSLT201603002
边疆少数民族地区基层公共图书馆建设模式探析,毕东:14276262,4,民族地区; 基层图书馆; 建设模式;,"从全局出发,从国家到村镇的层面,就基层公共图书馆建设模式、管理模式和服务模式等方面进行探讨,以期为在建或即将建设的基层公共图书馆提供借鉴。 ",TSLT201603003
图书馆在城市文化建设中的作用及互动关系,史惠敏:36182721,4,图书馆; 城市文化;,"从阐述城市文化的内涵入手,诠释了图书馆与城市文化建设的互动关系,以及图书馆在城市文化建设中的地位与作用。城市文化发展对图书馆发展的巨大推动作用,综述了国内外图书馆与城市文化发展现状,指出我国图书馆事业发展中存在的一些问题,但是我国图书馆在提高广大市民文明程度,培养他们道德品质、文化素养、丰富充实市民的业余生活、提高城市文化品位、发挥社会教育作用和继续教育功能等方面也发挥着举足轻重的作用。 ",TSLT201603004
浅谈湖北省图书馆档案管理“三合一”制度,罗媛:33458658,5,湖北省图书馆; 档案管理; 三合一制度;,"概述档案管理""三合一""制度基本概念,深入介绍湖北省图书馆建馆以来档案保存情况和档案""三合一""制度的历史沿革,分析该馆档案管理""三合一""制度存在的问题,进而提出相应改进建议及措施。 ",TSLT201603005
汽车图书馆建设探析,王凌云1:29768546|李红2:29768545,6,汽车图书馆; 建设; 困境; 对策;,"在对公共文化需求日益增长的今天,多途径地开展图书馆服务,是实现基层城乡文化发展的有效方式之一。本文阐述了汽车图书馆的服务优势,总结多地汽车图书馆的建设经验,并指出其发展困境,提出对应的解决对策。 ",TSLT201603006
巨变中的大学图书馆——定位思考与服务前瞻,张静:06286267,4,数字化; 空间服务; 社会价值; 学术研究;,"当信息的生产、组织、传递、存储以及用户利用都发生了天翻地覆变化的情况下,图书馆如何应对?本文从""变则通""的观点出发,阐述高校图书馆应嵌入学校科研、融入产学研、树立数字化生存意识、创造社会价值,找准自己在网络世界中的位置,提供精准服务,确立图书馆的新职业特征和社交位置,形成以需求为中心的业务模式与管理机制,从而构建智慧型图书馆的新模式。 ",TSLT201603007
加强与读者的互动 增强馆藏的实用性,,4,读者互动; 藏书建设; 实用性;,"加强与读者互动,多种形式实施读者选书、荐书,加强图书馆与读者沟通与交流,既方便读者推荐图书,也促进采访人员了解读者需求,既激发了读者的阅读热情,又使馆藏更符合读者需要,增强了馆藏的实用性、针对性,提高了藏书建设质量。同时摆正藏用关系,建立合理、必要的相关制度,积极应对""读者互动""中可能出现的偏废,实现读者互动购书与常规新书采购的合理、有序结合,让图书馆藏书建设向最优化发展。 ",TSLT201603008
创新服务 增强图书馆服务功能,冯鹏飞:15592453,3,创新服务; 提升服务功能;,"针对目前图书馆服务中存在的不足,结合本馆的实际工作,就如何开展创新服务、提升图书馆服务功能做了一个简单的论述。 ",TSLT201603009
全民阅读与公共图书馆建设的辨证关系及其实践,周伟:10743826,3,全民阅读; 公共图书馆;,"介绍全民阅读的推广情况,分析全民阅读与公共图书馆建设之间的辩证关系,举例说明全民阅读与公共图书馆建设关系上的实践情况。 ",TSLT201603010
公共图书馆推广全民阅读活动探究——以湖北省图书馆“长江读书节”为例,郑强:26742270|叶黎:32345778|余耽:36182722|李丹:34504873|夏梦思:33770883,5,全民阅读; 长江读书节; 图书馆;,"自2014年以来,""倡导全民阅读""已经连续三年被写入政府工作报告国家的高度重视促进了全国各地开展了一系列以全民阅读为目的的读书节活动经过各方的努力,全民阅读活动的规模不断扩大,内容日益丰富,民众反响强烈,逐步实现""建设书香社会""的美好心愿。本文以湖北省图书馆""长江读书节""为例,简析其主要内容及特点,深入探究推广全民阅读的实际意义。 ",TSLT201603011
浅谈让阅读成为一种生活方式,刘玉珍1:36182723|张矗2:36182724,4,图书馆; 阅读推广; 全民阅读; 生活方式;,"通过创新开展阅读推广活动,培养最基层民众的阅读习惯,营造全民阅读氛围。让阅读成为人们的一种生活习惯,生活方式,进而提高整个民族的精神文明水平。 ",TSLT201603012
从公共图书馆阅读推广谈读书节创新发展的相关举措——以宜昌市图书馆为例,王晓霞:16735471,4,公共图书馆; 阅读推广; 读书节; 创新发展;,"从阅读推广的含义入手,阐述了公共图书馆在阅读推广中的重要作用,以首届长江读书节分会场宜昌市图书馆开展的阅读推广活动为例,提出要持续创新办好读书节应采取的相关举措。 ",TSLT201603013
大数据时代公共图书馆信息资源微服务探析,张志嵘:30577534|王志彦:30526335,3,大数据; 信息资源; 特色资源; 微服务;,"剖析了大数据时代公共图书馆信息资源微服务存在的问题,阐述了大数据时代公共图书馆信息资源微服务技术基础的构建途径。 ",TSLT201603014
浅谈图书招标过程中的折扣问题,李昂:36182725,2,折扣; 图书采购; 招标; 书商;,"对图书招标过程中的折扣问题,在图书馆藏书之书建设中产生的影响进行了论述。阐述了对折扣问题的相关看法,并对招标过程中出现的问题提出了解决办法,以保证图书馆文献资源建设的质量。 ",TSLT201603015
对“长江讲坛”公益讲座的分析与思考,谢宁:34137344,6,长江讲坛; 公益讲座; 选题; 讲师;,"通过对""长江讲坛""举办3年来的统计数据及资料进行分析,对""长江讲坛""在选题策划、讲师邀请方面做了进一步探讨,以期对我馆讲座服务工作的发展和创新起到一定的参考和指导意义。 ",TSLT201603016
古籍编目札记,管小柳:12676237,4,古籍编目; 版本鉴定;,"以札记形式记录一些古籍编目中所遇到的或常见、或特殊的情况,以供古籍工作者之间交流,以期达到共同提高古籍编目水平之目的。 ",TSLT201603017
"童年,学习的公开课(二)",汤旭岩:10730160,7, ,"<正>看书的兴趣也有了变化,以前看《十万个为什么》,主要是动植物卷,现在看起平常不翻的物理、化学卷来。春节""首选""出乎于意料之外,儿子安排春节活动的首选项目是参观省博物馆。同样出乎于意料之外,我们两次去,却只看成了博物馆的部分展出内容。然而,此番经历确实让人欣慰,对8岁的儿子身上反映的精神力量和审美情趣,为父者再不敢小瞧。千载难逢的大年初一,天气刚刚由雨雪交加转为晴朗,许多孩童奔公园、动物园而去,我们父子坚决地踏上了前往博物馆的路。 ",TSLT201603018
关于书和人的那些事儿(续)——北京之行(二),,8, ,"<正>三他终于走了出来,在历经许久之后,他终于走出了心扉,走入了尘世。他就坐在那里,手捧茶盏,和""他""虚心求教。很久没有敬佩过一个人了,而他是实打实的值得他去敬仰的。进入了那么一个小小的工作室里,他就已经心安了,因为这里哪怕只有一排排书架,只有一台小小的电脑可供写作,哪怕只有屈指可数的几盆小花,可这里就是思想汇聚的地方,这里就是灵魂升华的圣地。他不止一次的想要来朝圣,不止一次的想要在这里找回属于他的""道"",可机缘巧合 ",TSLT201603019
书香养我 读书兴邦——首届“长江读书节”正式启动,,1, ,"<正>5月6日,首届长江读书节启动仪式在湖北省图书馆隆重举行。副省长郭生练到会致辞。省政府、省委宣传部、省直机关工委、省财政厅、省人社厅、省文化厅、省新闻出版广电局、省文联、省妇联、省残联、省全民阅读办公室、省青少年发展基金会等机关单位领导向37个贫困县(市、区)图书馆代表发放37万册送书牌。省文化厅厅长、党组书记雷文洁主持启动仪式。 ",TSLT201603001
征稿启事,,1, ,"<正>《图书情报论坛》于1989年创刊,由湖北省图书馆学会、湖北省图书馆主办,湖北省文化厅主管。创刊20余年来,《图书情报论坛》坚持""适应学科发展潮流、关注公众知识状况"",体现""以理论为先导、以理论指导实践""的宗旨;倡导""以人为本""、""理论联系实际""的办刊理念;2011年《图书情报论坛》由季刊改为双月刊,改刊后信息量更加丰富,用稿量进一步增大,进一步扩大了《图书情报论坛》的影响。为进一步活跃图书馆界学术气氛,加强与广大读者、作者的沟通与联系,进一步繁 ",TSLT201603020
古书版本鉴定——以宋刻颜体《法华经》考证为例,李致忠:22795540,9, ,"<正>首先谈古籍人才。所谓古籍人才,指的是古籍整理人才。古籍整理,就大的方面而言,可以分为两大块:一块是古籍内容方面的整理,如辑佚、校点、笺注、集解、今译等多种形式,主体在中华书局等;一块就是我们图书馆的古籍整理,如著录、分类、编目等各环节的工作,主体在各类公藏单位,也可以说是在我们图书馆。一个人在图书馆工作多年,古籍著录、分类、编目样样都做 ",TSLT201602002
