篇名,作者,页数,关键词,摘要,filename
澳大利亚战略政策研究所网络安全领域研究及对中国智库的启示,"朱敏1:45462183|张志强2,3:34550201|陈秀娟4:41306414|唐川2,3:11437501",8,澳大利亚战略政策研究所; 智库; 网络安全;,"[目的/意义]自《关于加强中国特色新型智库建设的意见》发布以来,国内学者对西方知名智库进行了全面、深度的研究,取长补短,积极发展中国特色新型智库,但对除欧美之外的智库研究较少。因此笔者以澳大利亚权威智库澳大利亚战略政策研究所(ASPI)为研究对象,介绍了ASPI在网络安全与信息化领域的研究成果,为我国智库的发展提供借鉴。[方法/过程]本文主要使用了文献调研和网络调研的研究方法,介绍了ASPI的发展历程,梳理了近年来其在新兴科技领域的研究成果。[结果/结论]ASPI共有7大研究领域,主要包括国防战略与国家安全、反恐、国际网络政策、国际计划、风险与应变、北部与澳大利亚安全以及战略警务和执法计划。在新兴科技领域,ASPI极为关注与中国的合作和竞争关系研究。ASPI在人员流动与合作机制、国际交流与合作、社交媒体利用等方面的经验值得国内智库学习和借鉴。 ",ZKSL202004011
哈佛大学贝尔弗科学与国际事务研究中心:全球一流高校智库,"徐婧1,2:32192633|张志强1,2:34550201|唐川1,2:11437501",8,贝尔弗科学与国际事务研究中心; 智库; 高校智库; 政策影响力;,"[目的/意义]深入分析美国哈佛大学贝尔弗科学与国际事务研究中心,为我国高校智库发展与建设提供借鉴与思考。在""智库与公民社会项目""发布的《全球智库报告》中,该中心连续6年位居高校智库首位,在很多关键性问题上对美国国内和国际政策决策产生了重要影响。[方法/过程]主要采用文献调研法和网络调研法采集资料和数据,分析中心发布的部分成果,剖析该中心的决策影响力和专家队伍特点、主要研究领域和关注问题,以及研究成果特点等。结合贝尔弗中心发展经验,针对国内高校智库存在问题提出相关建议。[结果/结论]该中心作为高校智库,汇集了多背景、多学科、多行业的专家人才,其研究领域聚焦外交与国际事务、环境与自然资源、国家安全、科技与公共政策等国计民生问题,其研究成果形式多样、传播广泛、影响力大,对我国高校智库的建设有重要的参考借鉴意义。 ",ZKSL202004012
《智库理论与实践》2020年选题指南,,1, ,"为更好地体现本刊定位与特点,有效传播智库研究成果,本刊每年度发布选题指南,并动态更新。本选题指南是在向编委和专家们征集2020年选题建议的基础上整理而成的,也是本刊2020年度侧重关注和报道的内容,供智库研究人员研究和作者撰写文章参考(包括但不限于这些选题,往年的选题仍然可用)。 ",ZKSL202004013
“防务智库建设”专栏按语,卢胜军:45682130,1, ,"<正>无论古今中外,智库的起源离不开战争和军事。早在春秋战国时期,为应对诸侯间的战争,我国""食客""""谋士""""智囊""以智辅政、名垂青史,千百年来""幕府""""参谋""""军师""等幕僚性职业和机构更是兴盛不绝,鲜明体现了我国智库的历史本源和中国特色。即使在当代,虽然智库的起源众说纷纭、莫衷一是,但西方意义上的智库""think tank"",源于""二战""时期美国军事专家和参谋讨论作战计划与方案的保密室,类似于军队的参谋咨询机构。战后用于指代相关研究与发展部门 ",ZKSL202003001
中国特色新型防务智库发展态势与政策建议,卢胜军1:45682130|杨燕南2:28542405|赵超阳1:38916382,8,军事智库; 决策咨询; 战略管理; 军民融合; 发展态势; 政策分析;,"[目的/意义]防务智库是国防和军队建设科学民主依法决策的重要支撑,是实现国防和军队""四个现代化""、增强军事软实力的重要力量。[方法/过程]界定了防务智库、军事智库相关概念范畴,分析了当前新型防务智库得到党和军队高层重视、力量迅速增长、研究工作全面推进、活动与成果丰富、咨政作用明显、国际话语权提升等基本情况,总结出国防和军队改革急需、军事战略特色突显、管理体制变革、""3+X+Y""格局重塑、品牌体系形成、理技结合、军地旋转门加速7个重要特征。[结果/结论]围绕当前中国特色新型防务智库建设发展存在的诸多问题,提出了建立健全防务智库规范性制度、制定顶层智库专项规划计划、强化体系化力量格局、培育防务思想市场、融合大数据智能技术、实施""走出去""战略6方面政策建议。 ",ZKSL202003002
对新时代国防科技智库建设的思考与建议,刘书雷:20475628|屈婷婷:21190230,6,国防科技智库; 建设要求; 思考建议;,"[目的/意义]国防科技智库是中国特色新型智库的重要组成部分,建设国防科技智库对于推动国防科技创新、强化国防科技战略管理具有重要意义。[方法/过程]分析了国防科技智库建设的重大意义,探讨了国防科技智库建设应该把握的基本要求,提出了推进国防科技智库建设的有效路径。[结果/结论]国防科技智库建设要突出科技特色、坚持需求导向、强化未来牵引、注重方法创新,并从确立建智用智理念、构建智库体系、发挥综合性科研机构引领作用、健全机制环境等4个方面提出了思考建议。 ",ZKSL202003003
关于新时代国防科技工业智库建设的思考,李斌1:22207188|雷贺功1:25371729|曹琪2:43418370|何艺佳1:44874873,5,智库建设; 国防科技; 国防工业; 决策咨询;,"[目的/意义]国防科技工业智库是中国特色新型智库体系和国防科技创新体系的重要组成部分,理清国防科技工业智库定位和发展思路,对国防科技工业智库建设具有重要指导作用。[方法/过程]结合国防科技工业深化改革面临的形势,概述国外从事国防工业研究与咨询的智库性质和分类,分析了国内国防科技工业智库的发展现状和问题,提出了新时代国防科技工业智库的定位任务和总体构想。[结果/结论]国防科技工业智库建设应重点关注咨询体系建设、顶层政策指导、高端力量建设、稳定支持机制、考核评价机制、智库联盟组建等方面。 ",ZKSL202003004
中国特色独立防务智库的建立与发展,李健1:44680384|卢胜军2:45682130,6,独立; 防务智库; 建设; 发展; 产品;,"[目的/意义]独立防务智库是对中国人民解放军""军事智力""建设有益的补充,也是必要的协同,进行国防信息与战略研究领域的军民融合,也是必然的发展之路。[方法/过程]对独立防务智库本质的认知、体系建设的原则、研究的方法论、思想产品线的体系架构、如何进行战略传播等几个方面进行探讨。[结果/结论]根据中国特色有所取舍,建立专业化、独立性的防务智库,进而缩小与发达国家的""军事智力""差距。 ",ZKSL202003005
新型防务智库政策制度的理论分析与设计,卢胜军:45682130|张代平:38916381|赵超阳:38916382,7,军事智库; 立法研究; 政策分析; 政策制度改革;,"[目的/意义]当前,在推进国家治理体系和治理能力现代化、深化军事政策制度改革的背景下,新型防务智库政策制度建设已成为国防和军队""四个现代化""建设的重要法治保障。[方法/过程]简要介绍了国内外智库政策制度发展现状,以学术研究视角分析了新型防务智库政策制度建设的必要性及应解决的瓶颈问题,设计提出了新型防务智库政策制度的总体思路、框架体系及主要内容。[结果/结论]尝试探索新型防务智库政策制度的3方面创新:从学理上实现学术研究的理论创新、从法理上实现论证设计的立法创新、从管理上实现改革突破的实践创新,为新型防务智库政策制度建设论证和学术研究提供参考。 ",ZKSL202003006
学科协同对高校智库效能的影响机制研究,张利江:10814285|蒋天云:44874874,9,高校智库; 学科协同; 智库效能; 学科服务; 回归分析;,"[目的/意义]建设和完善高校智库机制,提升高校智库效能亟待加强。本文结合高校的智库建设现状及实践经验,探索高校智库效能的影响因素。[方法/过程]本文以高校智库为研究对象,以高校智库的相关工作人员及高校教职工为调研对象,对201份调查问卷用SPSS18.0进行数据分析,通过相关分析和回归分析探究学科协同对学科服务绩效及高校智库效能的影响;学科服务绩效对高校智库效能的影响以及学科服务绩效的中介作用。[结果/结论]研究表明学科协同视域下,知识共享和团队结构均对学科服务绩效中的吸收能力、创新能力和科研能力有显著的正向影响,同时对高校智库效能也有正向影响;学科服务绩效中部分维度对智库效能有显著影响;吸收能力和创新能力在学科协同与高校智库效能之间具有中介作用。数据分析显示加入吸收能力和创新能力后知识共享和团队结构对高校智库效能的影响比其直接影响更加显著,因此本文从知识共享、团队组建、个体和团队的学习能力3个方面提出促进高校智库发展的建议。 ",ZKSL202003007
智库法律地位与主体准入制度的比较研究,张旭:37091976,6,智库准入; 法律地位; 一元登记; 双重管理; 三级准入;,"[目的/意义]智库准入形式决定了智库法律地位和制度空间,建设中国特色新型智库,首要任务就要厘清智库的机构属性与业务属性。[方法/过程]通过比较国外智库一元登记的主流模式与国内智库准入的现实选择,探讨了双重管理模式的学理逻辑和实践困境,分析了智库准入监管体制发展趋势。[结果/结论]借鉴国外智库一元登记主流模式的同时,要立足中国政治文化特色,在智库合法性确认和政策配套的前提下,逐步实行包括备案查询、法人登记和公益认定的三级准入制度。 ",ZKSL202003008
我国智库政策文献的计量可视化分析,黄晓斌:10069512|邓宝赛:44874875,11,新型智库; 政策文献计量; 政策趋势; 政策参照;,"[目的/意义]智库的建设离不开政策的支持和保障。总结近年来我国智库相关政策的特点和演变规律,可为智库建设、智库政策的制定和发展规划提供依据。[方法/过程]利用文献计量、知识图谱、聚类分析、可视化分析等方法,对我国智库政策文献进行收集、元数据抽取、聚类与计量可视化分析。[结果/结论]目前我国智库政策得到了一定的重视,但在系统性、连续性和可操作性方面还需要进一步改进。建议进一步完善智库政策的内容体系,细化相关政策内容;提高智库政策的针对性和可操作性,建立健全智库的组织章程;注意智库政策的可持续性,不断更新和完善;加强部门合作,为智库政策制定提供保障机制;不断反馈,重视对智库政策应用效果的评估。 ",ZKSL202003009
面向智库评价的数据资源中心建设研究,张鑫:39008727|文奕:10340703,10,智库研究; 知识资源中心; 多源数据融合;,"[目的/意义]智库建设是目前社会科学界热议的话题,如何科学合理地研究和评价智库也成为日益受关注的问题,高质量的智库研究报告需要高质量的数据平台支撑。[方法/过程]本文从智库研究与评价的需求出发,总结了目前智库知识资源体系的主要类型和建设现状,提出了大数据环境下面向智库研究的知识资源平台建设困难和挑战,介绍平台建设的原则思路和主要技术。[结果/结论]以中华智库研究网为实例,介绍面向智库研究的知识资源中心的建设,以及资源中心支撑智库研究的实践。 ",ZKSL202003010
我国出版行业智库知识服务现状研究,廉强:40598408,7,出版行业智库; 知识服务; 发展现状;,"[目的/意义] 2018年3月20日,国家新闻出版广电总局印发《关于加快新闻出版智库建设的指导意见》,意见提出要提高专业智库服务能力,要在知识服务上下功夫。基于这一背景,本文通过调查我国出版行业智库知识服务现状,总结出版行业智库知识服务存在的问题,并提出针对性措施来解决存在问题。[方法/过程]本文通过文献调研方法获取出版行业智库知识服务的相关研究资料,并通过网络调研方法调查总结我国出版行业智库知识服务的发展现状与存在问题。[结果/结论]通过调研分析发现,我国出版行业智库已经形成多种类型的知识服务主体,以出版行业智库为核心的研究团体开始出现,出版智库提供的知识服务内容和产品逐渐丰富;但是,同时也存在知识服务平台建设较差、个人知识服务水平不高、智库间合作不足等问题,并针对这些问题提出可行性解决办法与对策。 ",ZKSL202003011
高校图书馆新型智库协同创新平台构建研究,王雨:33953960,8,高校图书馆; 新型智库; 协同创新平台;,"[目的/意义]高校智库是中国特色智库的重要组成部分,高校对于新型智库建设的重视程度不断提升,高校图书馆加大了对新型智库协同创新平台的构建力度,致力于提高高校科研水平、政府决策的质量以及与企业产学研合作的效率。[方法/过程]以高校图书馆新型智库协同创新平台构建为研究对象,应用结构方程模型对高校图书馆新型智库协同创新平台核心能力进行实证分析。[结果/结论]探讨新型智库协同创新平台的构建机理及模式,有针对性地提出发展对策和建议,以期为今后新型智库建设的相关研究提供借鉴。 ",ZKSL202003012
世界资源研究所运行机制和发展动态研究,孟磊:43628226,9,智库; 世界资源研究所; 运行机制; 发展动态; 研究产品;,"[目的/意义]了解美国世界资源研究所的运行机制和发展动态,为我国的智库研究与实践提供参考与借鉴。[方法/过程]采用案例研究法,主要通过文献调研和网站调研的方法收集数据,同时参考国际智库研究报告,对世界资源研究所的成立、组织架构、财务状况等机制进行了探究,并从研究领域和智库排名情况角度梳理了研究所的发展动态,最后分析了其研究产品及传播方式。[结果/结论]美国世界资源研究所在《全球智库报告》全球环境类智库中的排名连续11年进入前3位,虽然仍是一个年轻的智库,但其始终着眼全球环境问题,帮助政府、环境保护和开发组织制定适当的政策和发展规划,完善的管理架构和完备的组织结构是其运行的重要保障,对中国智库建设发展,尤其是环境资源类智库建设发展有一定借鉴意义。 ",ZKSL202003013
日本智库联盟和地方智库联盟的运行机制及特征,柳玲:27872082,7,日本智库联盟; 地方智库联盟; 智库研究; 运行机制; 特征分析;,"[目的/意义]日本智库及智库联盟的运行机制及发展经验,值得处在新型智库发展黄金时期的中国探讨和借鉴。[方法/过程]采用案例研究法,通过网站调研和文献解读收集数据和资料,在考察日本智库联盟和地方智库联盟发展背景及现状的基础上,对其运作机制进行深入考查,并总结其特征和问题。[结果/结论]日本智库联盟和地方智库联盟吸纳的成员多为日本国内最负盛名的智库,这些智库成员拥有一流研究专家,并与政府内部有着密切联系,同时与决策层、高校、知名大企业之间形成了广泛而错综复杂的关系网络,不仅可以获得资金支持,在构筑高效的科研关系网方面也有着得天独厚的条件。简言之,学者、专家与市民共同参与智库的运营是保证日本智库联盟能够良好发展的一个重要因素。 ",ZKSL202003014
循证决策理念对我国新型智库建设的借鉴作用,"拜争刚1,2:36701582|黄泳淇1,2:44348608|李刚3:08038856",10,循证决策; 服务决策; 新型智库;,"[目的/意义]我国正处于社会发展的转型期,不同类型的智库也应运而生,但不同类型智库在发展过程中都面临研究方法科学性、决策独立性和透明性等方面挑战,其服务政府决策的能力也因此受到限制。全球著名的布鲁金斯学会和兰德公司等多家智库近年来均开始应用循证的理念和方法为政府和民间决策提供政策咨询,本研究将介绍国外智库应用循证理念和方法的经验以供借鉴[。方法/过程]本研究在分析我国智库当前发展存在问题的基础上,阐述循证思想对于我国智库建设的可借鉴之处,介绍汉密尔顿项目、美国农业部、联邦循证决策委员会等国外组织对循证理念和方法的研究、应用,并分享""中国儿童与老年健康证据转化平台""的建立及运行经验。[结果/结论]智库是专门为政府决策提供政策性研究的机构,其提供的决策证据应该具备高质量、独立和过程透明的特点,而其自身的发展离不开先进方法的支持。本研究介绍了国际上较为前沿的循证决策理念在国外智库、机构中的应用,希望为中国智库引用循证理念和方法促进智库建设提供借鉴。 ",ZKSL202002001
新媒体环境下智库信息传播机理研究,李中梅1:36275769|张向先2:07672161|刘金承2:40732258,11,新媒体; 智库信息; 信息传播; 机理;,"[目的/意义]为智库开展智库信息传播活动,提升新媒体环境下智库的传播效率和传播影响力提供参考依据。[方法 /过程]本文对新媒体环境下智库信息传播的方式和过程、智库信息传播的组成要素、要素间的相互关系以及智库信息传播的动力进行分析,最后构建了新媒体环境下智库信息传播的机理模型,并提出新媒体环境下智库信息传播的管理对策和建议。[结果 /结论 ]新媒体环境下智库信息传播的管理对策为:提升智库综合实力及新媒体运作水平,加强智库信息传播主体媒介素养;增强智库信息时效性,提升智库信息质量;健全智库新媒体相关制度建设,改善智库信息传播氛围;拓宽智库信息传播渠道,提升新媒体平台性能。 ",ZKSL202002002
基于组织间信息系统的新型智库建设关键影响因素研究,孙林1:36476773|崔艳清1:34906944|曹杰颖2:44348621,8,组织间信息系统; TAM模型; 智库接受; 影响因素;,"[目的/意义]智库是一个较为完整的知识体系,在知识的保存、共享环节发挥重要作用。智库如何被接纳、使用,成为智库价值体现的关键,同时也为新型智库建设提供支持。[方法 /过程]使用组织间信息系统模型的思想,分析智库在使用环节的用户体验,并使用统计思想测量其权重。[结果/结论 ]研究表明智库的社会影响、信息质量、技术背景是智库使用的关键因素。 ",ZKSL202002003
关于建设中国特色新型高端军事智库的思考,张睿峰:44347656|李莉:43360325,6,军事智库; 中国特色; 大数据+;,"[目的/意义]建设中国特色新型高端军事智库是贯彻落实习近平强军思想的题中应有之义,但是相关论述还很不足,需要进行系统探讨。[方法 /过程]本文通过运用比较研究、文献研究等方法,对建设中国特色新型高端军事智库的合理性、中国特色新型高端军事智库的特点、中国特色新型高端军事智库建设的现状进行全面地阐述。[结果 /结论 ]提出建设中国特色新型高端军事智库的5项对策建议,即形成中国军事思想的""前沿面""、树立中国军事智库品牌、优化机制保障、构建""大数据+""新型军事智库、推动""智""""库""协调发展。 ",ZKSL202002004
中国特色新型智库专业化建设的提升策略研究,李树德1:20110022|向洪2:24583973|郭华3:28262170,7,智库; 专业化建设; 公共决策; 智力支持;,"[目的/意义]针对我国软实力提升要求,提出加强智库专业化建设,拟为新型高端智库建设提供决策参考。[方法 /过程]本文通过运用理论推演与质性分析方法,界定了智库专业化建设的内涵,分析了智库专业化建设的动力机制,探讨了智库的专业服务功能,并结合中国特色新型智库专业化建设中存在的问题,提出了相应的政策建议。[结果 /结论 ]本文认为中国特色新型智库必须加强自身专业定位,依靠专业团队,以专业问题为导向,努力产出专业产品,不断提高专业服务水平,善于发出自己的专业声音,使中国模式得到世界认可和肯定。 ",ZKSL202002005
基于文献计量的兰德公司国防领域研究热点分析,郭春芳1:23791466|宋卓1:44347655|晏裕生2:37929365,9,兰德公司; 国防领域; 高频关键词; 聚类分析; 多维尺度分析;,"[目的/意义]通过对兰德公司政策主题排名第1的国防领域文献分析,寻找研究规律与趋势,为我国智库建设提供决策参考。[方法 /过程]通过文献计量中聚类和多维尺度分析的方法,对兰德公司国防领域产出文献高频关键词进行分析。[结果 /结论]聚类结果展示出文献研究的7大方向:网络与数据科学、国土安全与公共安全、国家安全与恐怖主义及科技的研究。多维尺度分析的结果展示了兰德公司国防领域产出文献研究的3个热点话题:以美国为核心的国际安全与经济、以网络为核心的网络安全与战争,及以反恐为核心的恐怖主义与违法犯罪,为智库研究提供了新的研究方向。 ",ZKSL202002006
我国地方高校新型智库的分布研究,冯利朋:10615178|兰洁:33547795,8,地方高校; 新型智库; 分布研究; PAI;,"[目的/意义]为推动我国高校智库的发展完善,促进我国地方高校新型智库的建设。[方法/过程]本文以《2018年中国智库报告》、2018年中国智库索引的高校智库以及高校智库百强数据为基础,对30个省、市、自治区的地方高校智库进行现状分析,并对9个不同领域的PAI值进行核算,发现天津、北京、河北3个地方的地方高校智库数量位居前3,江苏、上海、广东3个省市地方高校智库进入百强智库的数量最多,江苏省智库的产出种类最全,产出结构最合理,P值、A值和I值均有不同的产出。[结果 /结论 ]从总体上来看,经济越发达的地方,越重视I值,越传统的高校智库,P值越高。针对上述特点,提出应构建""政府—智库—社会""三位一体的智库发展新格局,完善新型高校智库评价体制,提升智库的影响力以及灵活聘任社会人员等。 ",ZKSL202002007
数据驱动的国外防务智库建设实践,董文轩:42535068|晏裕生:37929365|孙孟阳:37929367|李斌:22207188,6,数据驱动; 国外防务智库; 案例; 启示建议;,"[目的/意义]本文深入分析国外防务智库在数据驱动下的建设实践成果,为我国新型防务智库建设献计献策。[方法 /过程]本文首先分析了当前国外防务智库的发展现状,并列举了美、英等国出台的关于大数据驱动防务智库建设的顶层战略文件。其次,本文重点分析了兰德公司、布鲁金斯学会、战略与预算评估中心等国外防务智库基于数据驱动开展智库建设的典型案例。[结果 /结论]最后,通过结合我国新型防务智库建设发展需求,在思维理念、平台建设和人才培养等3方面提出了相关启示建议。 ",ZKSL202002008
云南省地方高校教育智库建设：问题归因与发展路径,刘颂迪:43795553,7,云南; 教育智库; 问题归因; 发展路径;,"[目的/意义]随着经济发展和社会进步,智库进入公众视野的频率正在上升,与此同时自身也在发挥重要作用。作为国家""软实力""的核心部分,智库推动着产、学、研相结合,为生产力提供重要支撑。我国教育智库虽然有所发展,但较国外而言,仍有些许不足之处。在国内外新形势下,云南省地方高校教育智库建设目前存在哪些问题,如何提高教育智库体系建设的质量,找到一条适合云南省的发展路径尤为重要。[方法 /过程]本文通过对云南地方高校教育智库存在的基本现状及特点进行总结,聚焦其主要问题,分析其问题产生的原因,主要采用文献资料法、案例分析法相结合的研究方法,探究云南省地方高校教育智库建设的发展路径。[结果 /结论 ]云南省地方高校教育智库的建设,应加深建库者、用库者和公众对教育智库的了解程度,增加相关编制、吸纳人才,加大财政支持力度、加强对智库人才的培训教育、加紧决策者以及研究者间的密切联系,以便形成自己的教育特色。根据自己的学科积累和学科特色,更好地为自己的地方高校教育智库建设谋发展、做定位。 ",ZKSL202002009
