篇名,作者,页数,关键词,摘要,filename
国际人工智能研究前沿及演进趋势——基于对人工智能期刊论文的突变术语探测分析,"唐川1,2:11437501|秦小林3:15628688|李若男2:38595676|王会勇4:21656923",14,人工智能; 研究前沿; 突变术语; 内容解读;,"[目的]对2006-2019年人工智能领域的研究前沿及演进趋势开展分析,为相关学者提供参考。[文献范围]从Web of Science核心数据库中,检索到中国计算机学会推荐的人工智能领域A类和B类国际期刊在2006-2019年间发表的28862篇论文。[方法]通过对大量论文数据进行突变术语探测和对代表性论文进行内容解读,分析国际人工智能领域的研究前沿及其演变趋势。[结果]发现2006年以来人工智能领域出现的49个研究前沿,并对其中20个主要研究前沿开展进一步分析,发现总体可分为三个发展阶段,其中近5年内相关研究前沿正在加速涌现。[局限]内容解读范围不足,缺乏期刊以外其他资料与数据的支持,所用工具与算法尚存局限性。[结论]人工智能研究前沿正在面向更深入和更高级的问题加速涌现,并呈多元化发展趋势。 ",KYXH201906011
数据与计算发展前沿,,1, ,"<正>专刊预告高性能与高通量计算及应用高性能与高通量计算的飞速发展和在各行业领域的大范围应用,对科学研究和国民经济各领域都产生了极大地促进和推动作用。2020年本刊将组织""高性能与高通量计算及应用""主题专刊,拟收录展示我国高性能与高通量计算的前沿发展态势和创新技术及应用成果等方面的高水平研究论文。 ",KYXH201906012
《数据与计算发展前沿》征稿启事,,1, ,"<正>《数据与计算发展前沿》(CN10-1649/TP,中英文双月刊)是由中国科学院主管、中国科学院计算机网络信息中心主办的学术性专业期刊。期刊办刊宗旨为聚焦数据、计算与网络的发展态势与技术前沿,推广原创技术方案、创新成果与最佳实践,促进学术交流,推动自然科学、社会科学以及各技术领域与先进信息技术的广泛交叉与深度融合,提高我国在该领域的科研应用水平。 ",KYXH201906013
数据与计算是科技创新的巨大驱动力,李树深:17283746,1, ,"<正>纵观上千年的科学发展史,人类在科学活动中不断改进工具和方法,从而加速了科学发现的历史进程。从16世纪以伽利略自由落体定律、惯性定律为代表的实验科学、经验科学,到19世纪以牛顿定律、麦克斯韦理方程为代表的理论科学,人、资本、工具(科学仪器)、方法(理论)组成了科学研究所需的生产要素。20世纪中叶,计算机已成为生产要素中与传统科学仪器地位相当的通用性、基础性工具类型。当前,数据与 ",KYXH201905001
数据与计算平台是驱动当代科学研究发展的重要基础设施,"廖方宇1:35076972|洪学海1,2:36940670|汪洋1:30911775|褚大伟3:44891892",9,数据与计算平台; 数据技术; 计算技术; 人工智能;,"【目的】为表明数据与计算平台在科学研究活动中的重要驱动作用,本文研究了数据、计算以及科学研究的发展与本质。【方法】本文简述了数据技术和计算技术的发展,通过拓扑材料计算、计算化学、引力波发现、黑洞成像和半监督学习图像识别等典型案例,表明了在各领域科研活动中,数据与计算平台极大地拓展了科学研究的深度和广度,为当代科学研究提供了新的手段与方法。【结果】本文认为摩尔定律的驱动、大数据爆炸式的增长以及人工智能的再次蓬勃发展,都和数据与计算技术的发展呈现密不可分的关系。【结论】以大数据、人工智能技术为代表的数据与计算平台将作为科学研究一种独立、不可或缺的投入要素,融入科学研究活动的全过程,数据与计算平台将成为世界各国驱动现代科学研究发展的重要基础设施。 ",KYXH201905002
高性能计算框架软件——SC＿Tangram,"迟学斌1,2:10348221|赵莲1:32765638|王姗姗1,2:44891891|张鉴1:24282823|姜金荣1:09559268",11,框架软件; Charm++; 组件化; 共性算法;,"【目的】为降低并行编程难度,加速应用程序开发,本文设计并实现一种面向新型开发模式的并行框架软件——SC_Tangram,其中SC表示科学计算(Scientific Computing),Tangram(七巧板)寓意灵活组装。【方法】框架开发采用面向百亿亿次高性能计算的新型编程模型Charm++,为应用软件的并行扩展性和自适应性提供了保障。基于组件化软件开发方法,通过抽取应用中的共性部分,进行封装和隐藏,通过组件或配置文件接口的方式,供用户调用。【结果】针对现阶段的开发,框架已应用到力学计算、相场模拟等应用领域上,实验结果表明能得到较好的加速效果。【局限】目前框架软件上的功能模块还不全面,需针对不同应用需求开发相应的接口。【结论】SC_Tangram可以支持针对应用的共性和特性组件开发,随着在框架上开发更多的功能组件,未来将应用到更多的科学计算领域中。 ",KYXH201905003
大数据基础理论与系统关键技术浅析,"华强胜1,2,3,4:37719059|郑志高1,2,3,4:44891926|胡振宇1,2,3,4:41250352|钟芷漫1,2,3,4:44891927|林昌富1,2,3,4:39440640|赵峰1,2,3,4:07608227|金海1,2,3,4:07599718|石宣化1,2,3,4:07592035",13,低复杂度算法; 数据并行; QoS机制技术; 图数据处理; 语言模型;,"【目的】本文主要就大数据基础理论及系统相关研究背景、技术架构和关键技术展开介绍,并结合技术发展趋势提出未来研究和技术发展方向。【方法】本文在简要介绍大数据处理基础理论的基础上,从面向数据并行的大数据处理技术、RDF (Resource DescriptionFramework)图数据的查询与匹配、大数据分析技术三个方面简要介绍了大数据系统的关键技术。【结果】未来数据产生的速度将进一步提高,在这种应用背景下,如何在设备端进行快速的数据处理成为一种趋势。【结论】未来,我们将在继续关注大数据基础理论与系统关键技术的基础上,引入边缘计算、雾计算等场景,研究物联网环境下的大数据处理。 ",KYXH201905004
应用驱动的大数据与人工智能融合平台建设,"康波1,2:44891893|孟祥飞2:27173539|夏梓峻2:36680889",11,超级计算; 大数据; 人工智能; 融合平台;,"【目的】介绍了面向产业需求的大数据与人工智能融合平台建设思路,形成了推动传统产业智能化、智能科技产业化的发展实施方案,为计算创新驱动提供参考。【方法】基于面向行业应用场景的数据特征理解和融合平台需求分析,阐述了基于应用驱动的超级计算与大数据、云计算、人工智能、物联网融合的平台层次结构,在基础融合环境、数据整合框架、业务系统几个方面系统介绍了该融合平台的体系架构和实现。【结果】基于该平台,实现了在装备制造、网联汽车、医疗健康等领域的典型应用,具备较好的适用性。【局限】作为公共开源开放平台提供服务,机构公信力、数据安全性是其下一步需要解决的重要问题。【结论】应用驱动的大数据与人工智能融合平台可作为社会开放、政府可控的智能产业科学发展生态的重要组成部分,进一步解决我国智能产业领域创新能力和创新支撑平台不足的现实问题。 ",KYXH201905005
面向大规模数据的科学可视化系统GPVis,"单桂华1:09596097|刘俊1,2:09596111|李观1,2:36359969|高阳1:31262706|徐涛1:42832722|田东1,2:24728772",17,科学可视化; 大规模科学数据; 软件系统; 大科学装置; 虚拟现实;,"【目的】为解决大规模科学数据可视化所面临的一系列问题,提供一套灵活可扩展的科学数据可视化框架,本文设计并实现一种面向大规模数据的科学可视化系统GPVis。【方法】本文基于科学数据可视化在方法和工具层面所面临的挑战和机遇进行了分析,结合数据预组织、图形渲染、高性能计算、人机交互、VR/AR等相关的先进技术,提出了新型的可视化计算及服务框架。【结果】针对常用的可视化方法,本文提出了适用于GPVis框架的可视化处理模式,并列举了多个该可视化框架系统在典型领域的应用案例的具体方法及结果,实现并满足了科学研究人员在数据分析中的可视化需求。【局限】GPVis在智能分析方面还有待进一步提升,未来将与人工智能技术更紧密结合。【结论】GPVis提供了强大且可扩展的大规模科学数据可视化的平台框架,可以针对不同的数据类型及应用需求进行灵活的组件设计,随着系统在框架结构及可视化算法上的不断发展完善,将在更多的科学领域得到应用。 ",KYXH201905006
Angel~+：基于Angel的分布式机器学习平台,张智鹏1:38131032|江佳伟2:39247317|余乐乐2:39247321|崔斌1:06248960,10,分布式机器学习平台; 参数服务器; 大数据处理系统; 分布式机器学习系统;,"【目的】随着大数据时代的来临,数据变得高维、稀疏,机器学习模型也变得复杂、高维,因此也给分布式机器学习系统带来了很多挑战。尽管研究人员已经开发了很多高性能的机器学习系统,比如Tensor Flow、 PyTorch、XGBoost等,但是这些系统存在以下两个问题:(1)不能与现有的大数据系统很好的结合;(2)不够通用,这些系统往往是为了某一类机器学习算法设计。【方法】为了解决以上两个挑战,本文介绍Angel+:一个基于参数服务器架构的分布式机器学习平台。【结果】Angel+能够高效的支持现有的大数据系统以及机器学习系统——依赖于参数服务器处理高维模型的能力,Angel+能够以无侵入的方式为大数据系统(比如Apache Spark)提供高效训练超大机器学习模型的能力,并且高效的运行已有的分布式机器学习系统(比如Py Torch)。此外,针对分布式机器学习中通信开销大和掉队者问题,Angel+也提供了模型平均、梯度压缩和异构感知的随机梯度下降解法等。【结论】笔者结合Angel+开发了很多高效、易用的机器学习模型,并且通过实验验证了Angel+平台的高效性。 ",KYXH201905007
联邦型RDF数据管理系统综述,彭鹏1:10864973|邹磊2:22583970,9,联邦型RDF数据管理系统; SPARQL查询处理; 查询优化;,"【目的】资源描述框架(Resource Description Framework,英文简写RDF)作为一个知识表示的模型,已经被广泛地用在各种科学数据管理的应用中来表示知识图谱。同时,SPARQL(Simple Protocol And RDF Query Language)作为一种结构化查询语言则被用来支持对RDF知识图谱数据进行查询检索。随着越来越多的数据提供者将他们的数据表示成RDF知识图谱形式,如何将不同数据提供者""自治""的RDF知识图谱数据整合成一个""联邦型RDF数据管理系统""就成为一个挑战。【文献范围】本文对现有不同的联邦型RDF数据管理系统进行综述。【方法】不同联邦型RDF数据管理系统之间主要的区别体现在查询分解与数据源选择策略以及查询处理与优化策略。【结果】目前联邦型RDF数据管理系统的查询分解与数据源选择策略可以分成基于元数据的策略和基于ASK查询的策略;而联邦型RDF数据管理系统的查询处理与优化策略是在System-R式动态规划的基础上提出了若干优化连接策略。【局限】目前联邦型RDF数据管理系统尚未研究如何支持SPARQL 1.1。【结论】联邦型RDF数据管理系统... ",KYXH201905008
SKS：一种科技领域大数据知识图谱平台,"周园春1,2:09596132|常青玲1:23621677|杜一1:30875357",12,知识图谱; 大数据; 数据采集; 汇聚融合; 关联关系; 可视化;,"【目的】科技领域大数据知识图谱致力于为科研工作者提供更精准、更全面、更有深度和广度的检索与分析结果,进而为学科研究提供切实的、有价值的参考。【文献范围】文章重点调研国内外基于数据的科技评估方法、基于知识图谱的交叉学科研究,以及知识图谱构建中的关键技术方法和基于领域知识的知识图谱建设应用等。【方法】本文给出一种科技领域大数据知识图谱平台SKS,基于SKS平台的整体架构,阐述构建科技领域知识图谱的关键技术及平台工具,并给出相关关键技术及平台在不同领域的应用。【结果】SKS平台及应用在为相关领域构建资源知识管理系统的同时,为科研人员提供了精准的、多维的、相互关联的智能检索服务。【局限】科技领域大数据知识图谱在不断发展中,数据质量(数据源自身质量及数据融合产生的误差)在一定程度上影响了平台的应用效果,未来希望在数据消歧方面进行更多的探索。【结论】科技领域大数据知识图谱以其较强的语义处理能力和关系发掘能力,较好的组织了科技领域的人员、机构、成果、事件等海量异质异构数据,为科技评估提供辅助功能,其在具体项目中的应用效果均获得领域专家的认可。 ",KYXH201905009
大数据3.0——后Hadoop时代大数据的核心技术,刘汪根:45658978|孙元浩:45658938,11,大数据; 云计算; DAG; 实时计算; Kubernetes; 多租户; 统一存储管理;,"【目的】以Hadoop为代表的第一代大数据技术架构存在过于复杂、性能不足,以及与云计算不能很好结合等问题,因此星环科技重新设计了大数据技术栈。【方法】设计了资源调度层来管理各种生命周期的服务和任务;抽象出了统一存储管理层,通过插拔不同的存储引擎来实现对不同类型数据的需求;通过统一的基于DAG的计算引擎来支持多种计算负载;在开发层提供标准的SQL和Python接口。【结果】使用Kubernetes技术统一管理数据服务和容器技术实现更好的多租户能力,打通大数据和业务之间的衔接,从而更好的实现数据业务化和业务数据化,也在大规模商用中得到了验证。【结论】通过对大数据架构的重新设计,不仅有效的解决了第一代大数据实现的技术问题,而且更好的与云计算和新型硬件技术结合,可以代表新一代大数据基础技术栈的发展方向。 ",KYXH201905010
飞桨：源于产业实践的开源深度学习平台,马艳军:44891895|于佃海:44891896|吴甜:24956329|王海峰:24956332,11,飞桨; 人工智能; 深度学习; 深度学习框架;,"【目的】深度学习是近年来人工智能取得突破的驱动性核心技术,深度学习框架也被称作智能时代的操作系统,本文对国内唯一功能完备的开源深度学习平台飞桨(PaddlePaddle)进行了系统性介绍。【方法】首先介绍深度学习框架的发展历程,并概述飞桨深度学习平台的技术全景和生态建设进展,然后详细介绍飞桨核心框架的关键技术,包括前端语言、组网编程范式、核心架构图、算子库以及高效率计算核心五个部分。【结果】飞桨经过多年来产业实践中持续迭代创新,已经在超大规模分布式训练、多端高速推理等方面形成了独特的优势。【结论】系统性总结飞桨的主要创新点并对未来发展趋势进行展望。 ",KYXH201905011
数据中台技术相关进展及发展趋势,苏萌:45158373|贾喜顺:45160016|杜晓梦:45158627|高体伟:45160017,11,数据中台; 数据治理; 数据仓库; 人工智能; 数据服务; 数据应用;,"【目的】本文主要就数据中台相关研究背景、技术架构和关键技术以及在行业中的落地应用展开介绍,并结合技术发展趋势提出未来研究和应用发展方向。【方法】本文综述了数据中台相关领域的国内外研究,并提出数据中台通用技术架构,分别对大数据技术平台、数据资产管理平台、数据分析挖掘平台和统一服务总线的核心技术和功能进行了展开讨论。【结果】基于本文提出的数据中台的相关技术框架,数据中台在相关行业已经得到初步应用和实践,其中互联网、金融和政府等行业走在前沿。【结论】数据中台的相关技术会越来越向自动化、智能化方向发展,其支撑的上层业务应用将会在一系列相关技术突破的推动下在各行业形成爆发式的发展。 ",KYXH201905012
数据与计算发展前沿,,1, ,"<正>数据与计算平台专刊目前,全球科技创新已呈现""大数据+大计算=大发现""的趋势,先进的数据与计算平台既是实现国家创新战略的需要,亦是提升科技创新支撑能力的需要。""数据与计算平台""专刊收录了展示我国数据、计算与网络技术的前沿发展态势和创新技术及应用成果等方面的高水平研究论文。执行主编张云泉中国科学院计算技术研究所研究员国家超算济南中心主任中国大数据与智能计算产业联盟执行理事长中国软件行业协会常务理事《数据与计算发展前沿》(CN10-1649/TP,中英文双月刊)是由中国科学院主管、中国科学院计 ",KYXH201905013
《数据与计算发展前沿》征稿启事,,1, ,"<正>《数据与计算发展前沿》(CN10-1649/TP,中英文双月刊)是由中国科学院主管、中国科学院计算机网络信息中心主办的学术性专业期刊。期刊办刊宗旨为聚焦数据、计算与网络的发展态势与技术前沿,推广原创技术方案、创新成果与最佳实践,促进学术交流,推动自然科学、社会科学以及各技术领域与先进信息技术的广泛交叉与深度融合,提高我国在该领域的科研应用水平。期刊主要报道且不限于以下主要内容:有关数据、计算与网络等信息技术领域具有前瞻性和创新性的技术发展见解;关键技术、热点的前沿性研究与应用; ",KYXH201905014
计算机视觉与模式识别研究进展,孙哲南:17257368|李琦:36034287|刘云帆:42865546|邓琪瑶:42909139|李佩佩:42909140|任民:42909141|张鸿文:37754421|曹杰:36428520|何勇:42909142,16,人工智能; 计算机视觉; 模式识别; 深度学习;,"近年来,人工智能(Artificial intelligence)已经逐渐成为新一轮科技革命和产业变革的核心驱动力,正在对人类生活的方方面面产生极其深刻的影响。随着互联网大数据和高性能并行计算的快速发展,计算机视觉(Computer Vision)领域的相关研究也在过去几年取得了重要进展,成为人工智能领域的重要应用分支之一。作为计算机视觉研究的主要工具,以深度神经网络为代表的模式识别(Pattern Recognition)技术也取得了重大突破。本文从具体应用任务出发,对计算机视觉和模式识别领域发展过程中的重要技术进行了梳理,并对具有代表性的研究成果进行了总结。最后,本文介绍了计算机视觉和模式识别技术的一个典型应用领域——生物特征识别,并对未来的发展趋势进行了展望。 ",KYXH201904001
一种基于区块链的域名管理架构模型,"南斗玄1,2:42909133|王伟1:25052632|延志伟3:34307073|耿光刚3:26964082",11,域名系统; 去中心化; 区块链; 联盟链;,"当前互联网治理模式正朝着平等开放的方向发展,而作为互联网关键基础设施的域名系统(Domain Name System,DNS),其传统管理模式是一种中心化的层级架构,权力滥用、单点信任等安全风险始终存在。区块链技术作为一种新型的去中心化工具,能够给域名系统架构的扁平化改造提供创新性思路,实现全球域名服务提供商之间的共管共治模式。本文从当前域名系统中心化结构的痛点出发,归纳总结域名系统去中心化的解决方案,并在不改变现有业务逻辑的前提下,提出一种基于区块链的域名管理架构模型,通过三层结构的联盟区块链以及""DPoS+BFT""共识机制,实现各顶级域注册局共同参与根区数据管理的新方式。 ",KYXH201904002
一种大规模MongoDB集群监控方案的设计与实现,"李云婷1,2:42909135|张海明1:30353455|黎建辉1:10348230",11,监控; MongoDB集群; 分布式; Zabbix;,"如今诸多应用趋于使用MongoDB进行数据存储与管理,鉴于MongoDB集群规模庞大、结构易变动,研究如何实现针对大规模分布式MongoDB集群的实时性能和健康状态监控,具有重要技术挑战,对后续集群性能分析优化与故障恢复等具有重要意义。本文提出了一种集群结构描述方法和分布式监控架构,将集群实例作为基本监控单元,突破集群节点的局限性,实现监控数据统一存储,按照集群节点组织完成性能展示和分析,并通过开源平台Zabbix进行实现。实践表明系统能够灵活、简便且高效地监控大规模MongoDB集群,满足实时性能和健康状态监控要求。 ",KYXH201904003
一种基于时令变化的舌诊技术,卢玲:40842875|徐学军:06475202|马燕:40842876|唐伟:26656791|唐俊安:40842874,9,舌诊; 舌像信息; 颜色空间; 时令变化; 阴阳五行;,"舌体信息的变化对判断人体健康状况意义重大。本项目研究了中医诊疗中的重要手段——舌诊舌像的时令信息变化。论文利用RGB (Red, Green, Blue)颜色模型进行HOG (Histogram of Oriented Gradient)特征提取,通过对同一个体的卯、午、酉、子时HSI (Hue, Saturation, Intensity)颜色模型的舌体图像进行对比分析研究,得出了符合中医诊断的精准数据,构筑了阴阳五行类比推衍变化规律的舌像信息时令变化基准模型,为解决医学模式和中医客观精准问题提供了可行方法,应用前景广阔。 ",KYXH201904004
基于消息调度的远洋渔业数据采集体系,魏振华1:35849634|汪健平1:36266458|张学利2:27067747|马娜2:27067746|王志辉2:39876461,6,消息调度; 渔业数据采集流程; 自动化;,"本文提出了一种基于消息调度机制的远洋渔业数据采集体系,建立了海温、叶绿素、海风、海浪等远洋渔业数据的采集、加工、产品化流程,初步解决了远洋渔业数据自动化生产问题。简要介绍了消息机制的原理,提出了远洋渔业数据采集应用架构和渔业数据生产流程,最后以海温数据采集——加工——产品化——服务发布为实例,描述了海温数据采集过程和其在远洋渔业服务系统中的应用。 ",KYXH201904005
国外科学数据分析平台研究综述,胡鑫:42909137|孟珍:24629676|王学志:27743357|林青慧:29700113,7,大数据; 云分析平台; 云计算; 分布式存储;,"数据应用与分析平台是大数据时代所必须的基础设施,国外数据端云分析系统的实践经验较为成熟。本文对当前数据分析平台的发展现状、体系架构和关键技术进行分析,并从建设思路、功能架构和主要提供的服务方面介绍国外四种数据分析平台。 ",KYXH201904006
